# swept,evidence source x rung x evidence-page bucket (1 / 2 / 3+)
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# buckets,"single/multi only, hop=none dropped"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# thin rows,"per-cell n rides inline; a thin cell reads as survivorship, not robustness, so this is a trend table rather than a precision one"
evidence_source,rung,1,2,3+,n
Figure,T,57.9 [49.4-65.8] (n=297),71.0 [62.4-78.6] (n=193),57.8 [43.1-71.0] (n=64),554
Figure,TL,68.7 [61.7-75.6] (n=291),67.2 [59.0-75.7] (n=192),46.8 [33.3-59.3] (n=62),545
Figure,TV,60.9 [53.5-68.2] (n=297),82.8 [76.5-88.8] (n=192),54.8 [42.9-66.1] (n=62),551
Figure,TLV,68.4 [60.8-75.8] (n=291),84.3 [78.6-89.5] (n=191),63.3 [52.0-75.0] (n=60),542
Figure,V,60.9 [52.9-68.5] (n=297),73.1 [66.5-79.0] (n=193),60.9 [46.4-72.2] (n=64),554
Layout,T,53.3 [44.5-62.5] (n=195),44.2 [38.3-51.0] (n=398),54.5 [44.8-63.9] (n=167),760
Layout,TL,62.1 [54.6-70.3] (n=195),46.4 [40.0-53.1] (n=388),56.1 [46.4-65.4] (n=155),738
Layout,TV,66.7 [58.4-75.4] (n=195),50.3 [44.3-56.7] (n=398),59.9 [51.3-69.1] (n=152),745
Layout,TLV,63.1 [55.3-71.1] (n=195),52.5 [46.2-59.1] (n=377),58.1 [48.2-68.5] (n=136),708
Layout,V,57.9 [49.6-66.7] (n=195),46.7 [40.9-53.2] (n=405),59.8 [50.3-68.9] (n=164),764
Others,T,100.0 [100.0-100.0] (n=4),100.0 [100.0-100.0] (n=4),- (n=0),8
Others,TL,100.0 [100.0-100.0] (n=4),100.0 [100.0-100.0] (n=4),- (n=0),8
Others,TV,100.0 [100.0-100.0] (n=4),100.0 [100.0-100.0] (n=4),- (n=0),8
Others,TLV,100.0 [100.0-100.0] (n=4),75.0 [60.0-100.0] (n=4),- (n=0),8
Others,V,75.0 [50.0-100.0] (n=4),75.0 [60.0-100.0] (n=4),- (n=0),8
Table,T,66.6 [59.1-72.9] (n=569),50.6 [42.4-60.2] (n=249),50.0 [35.0-66.7] (n=40),858
Table,TL,78.3 [74.7-81.9] (n=558),50.9 [41.6-59.8] (n=226),44.4 [25.0-65.2] (n=27),811
Table,TV,71.7 [66.9-76.6] (n=569),50.6 [42.4-59.8] (n=249),48.6 [31.6-65.7] (n=35),853
Table,TLV,75.4 [70.6-79.5] (n=556),52.2 [43.2-61.0] (n=207),42.3 [21.4-63.6] (n=26),789
Table,V,62.9 [58.5-67.6] (n=569),45.5 [37.7-54.1] (n=255),52.3 [37.0-67.4] (n=44),868
Text,T,77.4 [71.2-83.1] (n=323),76.3 [71.8-81.0] (n=469),69.3 [61.5-76.2] (n=192),984
Text,TL,81.4 [76.9-85.9] (n=322),81.1 [77.1-84.9] (n=470),71.9 [64.1-79.1] (n=178),970
Text,TV,82.4 [77.2-86.8] (n=323),82.1 [78.6-85.4] (n=468),73.3 [66.3-80.2] (n=180),971
Text,TLV,82.3 [78.3-86.2] (n=322),85.2 [81.8-88.5] (n=460),73.9 [67.1-81.3] (n=161),943
Text,V,72.4 [67.2-77.3] (n=323),75.8 [72.0-79.7] (n=471),72.3 [65.7-78.5] (n=191),985
**All**,T,65.6 [60.6-70.5] (n=1093),62.2 [58.2-66.3] (n=898),61.9 [55.3-67.7] (n=302),2293
**All**,TL,74.0 [70.7-77.0] (n=1076),63.4 [59.3-67.7] (n=871),59.4 [52.4-66.2] (n=276),2223
**All**,TV,72.5 [68.8-76.0] (n=1093),67.6 [63.8-71.4] (n=896),64.5 [58.6-70.1] (n=279),2268
**All**,TLV,74.7 [71.5-77.9] (n=1074),70.4 [66.6-74.5] (n=846),65.2 [58.6-72.0] (n=247),2167
**All**,V,64.5 [61.0-68.3] (n=1093),61.5 [57.4-65.6] (n=906),63.4 [57.5-68.9] (n=303),2302
n (per col),-,5429,4417,1407,-
