# swept,retriever x k (page P/R/F1)
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,doc_type,P,R,F1,n
bge-m3,text,1,Locating,0.383,0.263,0.297,695
bge-m3,text,1,Reasoning,0.464,0.325,0.366,384
bge-m3,text,1,Understanding,0.532,0.376,0.423,1238
bge-m3,text,2,Locating,0.297,0.397,0.322,695
bge-m3,text,2,Reasoning,0.358,0.455,0.380,384
bge-m3,text,2,Understanding,0.373,0.510,0.411,1238
bge-m3,text,3,Locating,0.247,0.477,0.308,695
bge-m3,text,3,Reasoning,0.288,0.533,0.354,384
bge-m3,text,3,Understanding,0.293,0.582,0.372,1238
bge-m3,text,4,Locating,0.208,0.526,0.283,695
bge-m3,text,4,Reasoning,0.242,0.580,0.324,384
bge-m3,text,4,Understanding,0.241,0.627,0.332,1238
bge-m3,text,5,Locating,0.180,0.565,0.261,695
bge-m3,text,5,Reasoning,0.213,0.621,0.301,384
bge-m3,text,5,Understanding,0.203,0.655,0.297,1238
bge-m3,text,6,Locating,0.162,0.606,0.245,695
bge-m3,text,6,Reasoning,0.186,0.641,0.273,384
bge-m3,text,6,Understanding,0.176,0.679,0.269,1238
bge-m3,text,7,Locating,0.146,0.631,0.227,695
bge-m3,text,7,Reasoning,0.165,0.661,0.251,384
bge-m3,text,7,Understanding,0.157,0.700,0.247,1238
bge-m3,text,8,Locating,0.132,0.650,0.211,695
bge-m3,text,8,Reasoning,0.153,0.690,0.238,384
bge-m3,text,8,Understanding,0.141,0.716,0.228,1238
bge-m3,text,9,Locating,0.121,0.670,0.198,695
bge-m3,text,9,Reasoning,0.140,0.710,0.223,384
bge-m3,text,9,Understanding,0.130,0.733,0.213,1238
bge-m3,text,10,Locating,0.113,0.688,0.187,695
bge-m3,text,10,Reasoning,0.129,0.723,0.209,384
bge-m3,text,10,Understanding,0.120,0.748,0.200,1238
bge-m3|colqwen2.5,joint,1,Locating,0.499,0.478,0.454,695
bge-m3|colqwen2.5,joint,1,Reasoning,0.560,0.545,0.520,384
bge-m3|colqwen2.5,joint,1,Understanding,0.630,0.608,0.581,1238
bge-m3|colqwen2.5,joint,3,Locating,0.258,0.713,0.358,695
bge-m3|colqwen2.5,joint,3,Reasoning,0.282,0.746,0.386,384
bge-m3|colqwen2.5,joint,3,Understanding,0.278,0.785,0.390,1238
bge-m3|colqwen2.5,joint,5,Locating,0.174,0.784,0.272,695
bge-m3|colqwen2.5,joint,5,Reasoning,0.199,0.824,0.304,384
bge-m3|colqwen2.5,joint,5,Understanding,0.182,0.838,0.286,1238
bm25,text,1,Locating,0.450,0.320,0.356,695
bm25,text,1,Reasoning,0.451,0.318,0.355,384
bm25,text,1,Understanding,0.536,0.388,0.433,1238
bm25,text,2,Locating,0.340,0.452,0.366,695
bm25,text,2,Reasoning,0.323,0.428,0.350,384
bm25,text,2,Understanding,0.368,0.510,0.409,1238
bm25,text,3,Locating,0.265,0.513,0.330,695
bm25,text,3,Reasoning,0.248,0.484,0.312,384
bm25,text,3,Understanding,0.279,0.570,0.360,1238
bm25,text,4,Locating,0.221,0.562,0.300,695
bm25,text,4,Reasoning,0.209,0.527,0.285,384
bm25,text,4,Understanding,0.227,0.612,0.319,1238
bm25,text,5,Locating,0.189,0.592,0.272,695
bm25,text,5,Reasoning,0.182,0.559,0.261,384
bm25,text,5,Understanding,0.192,0.639,0.285,1238
bm25,text,6,Locating,0.166,0.618,0.250,695
bm25,text,6,Reasoning,0.160,0.582,0.239,384
bm25,text,6,Understanding,0.168,0.665,0.259,1238
bm25,text,7,Locating,0.148,0.636,0.229,695
bm25,text,7,Reasoning,0.144,0.602,0.221,384
bm25,text,7,Understanding,0.150,0.684,0.238,1238
bm25,text,8,Locating,0.133,0.650,0.212,695
bm25,text,8,Reasoning,0.134,0.625,0.210,384
bm25,text,8,Understanding,0.135,0.699,0.219,1238
bm25,text,9,Locating,0.122,0.660,0.197,695
bm25,text,9,Reasoning,0.124,0.645,0.198,384
bm25,text,9,Understanding,0.124,0.712,0.204,1238
bm25,text,10,Locating,0.112,0.676,0.185,695
bm25,text,10,Reasoning,0.114,0.651,0.185,384
bm25,text,10,Understanding,0.113,0.719,0.189,1238
bm25|colmodernvbert,joint,1,Locating,0.524,0.495,0.479,695
bm25|colmodernvbert,joint,1,Reasoning,0.535,0.487,0.484,384
bm25|colmodernvbert,joint,1,Understanding,0.609,0.583,0.560,1238
bm25|colmodernvbert,joint,3,Locating,0.246,0.690,0.343,695
bm25|colmodernvbert,joint,3,Reasoning,0.255,0.695,0.354,384
bm25|colmodernvbert,joint,3,Understanding,0.260,0.760,0.370,1238
bm25|colmodernvbert,joint,5,Locating,0.160,0.750,0.253,695
bm25|colmodernvbert,joint,5,Reasoning,0.179,0.778,0.278,384
bm25|colmodernvbert,joint,5,Understanding,0.170,0.815,0.271,1238
colmodernvbert,vision,1,Locating,0.599,0.434,0.483,695
colmodernvbert,vision,1,Reasoning,0.620,0.445,0.497,384
colmodernvbert,vision,1,Understanding,0.683,0.507,0.560,1238
colmodernvbert,vision,2,Locating,0.411,0.561,0.451,695
colmodernvbert,vision,2,Reasoning,0.435,0.573,0.469,384
colmodernvbert,vision,2,Understanding,0.459,0.646,0.514,1238
colmodernvbert,vision,3,Locating,0.316,0.629,0.401,695
colmodernvbert,vision,3,Reasoning,0.341,0.643,0.421,384
colmodernvbert,vision,3,Understanding,0.343,0.707,0.443,1238
colmodernvbert,vision,4,Locating,0.263,0.677,0.362,695
colmodernvbert,vision,4,Reasoning,0.288,0.694,0.384,384
colmodernvbert,vision,4,Understanding,0.277,0.747,0.388,1238
colmodernvbert,vision,5,Locating,0.221,0.701,0.321,695
colmodernvbert,vision,5,Reasoning,0.253,0.738,0.354,384
colmodernvbert,vision,5,Understanding,0.232,0.772,0.343,1238
colmodernvbert,vision,6,Locating,0.192,0.723,0.291,695
colmodernvbert,vision,6,Reasoning,0.224,0.763,0.325,384
colmodernvbert,vision,6,Understanding,0.202,0.796,0.310,1238
colmodernvbert,vision,7,Locating,0.171,0.745,0.267,695
colmodernvbert,vision,7,Reasoning,0.199,0.782,0.299,384
colmodernvbert,vision,7,Understanding,0.178,0.810,0.282,1238
colmodernvbert,vision,8,Locating,0.155,0.767,0.248,695
colmodernvbert,vision,8,Reasoning,0.183,0.810,0.282,384
colmodernvbert,vision,8,Understanding,0.159,0.822,0.258,1238
colmodernvbert,vision,9,Locating,0.141,0.780,0.230,695
colmodernvbert,vision,9,Reasoning,0.169,0.829,0.265,384
colmodernvbert,vision,9,Understanding,0.146,0.838,0.240,1238
colmodernvbert,vision,10,Locating,0.129,0.791,0.215,695
colmodernvbert,vision,10,Reasoning,0.154,0.837,0.247,384
colmodernvbert,vision,10,Understanding,0.134,0.851,0.224,1238
colqwen2.5,vision,1,Locating,0.614,0.431,0.484,695
colqwen2.5,vision,1,Reasoning,0.656,0.465,0.520,384
colqwen2.5,vision,1,Understanding,0.727,0.537,0.595,1238
colqwen2.5,vision,2,Locating,0.465,0.623,0.506,695
colqwen2.5,vision,2,Reasoning,0.470,0.623,0.509,384
colqwen2.5,vision,2,Understanding,0.487,0.677,0.542,1238
colqwen2.5,vision,3,Locating,0.347,0.675,0.435,695
colqwen2.5,vision,3,Reasoning,0.367,0.689,0.453,384
colqwen2.5,vision,3,Understanding,0.361,0.729,0.461,1238
colqwen2.5,vision,4,Locating,0.283,0.720,0.387,695
colqwen2.5,vision,4,Reasoning,0.312,0.746,0.415,384
colqwen2.5,vision,4,Understanding,0.291,0.771,0.405,1238
