# swept,every reasoner config × rung (prefill / decode / cells)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"each row is its OWN pool, not a matched intersection; the `cells` row per config is its per-rung count"
# page_selection,oracle
# prompt_mode,none
# machine,rows grouped by measuring machine; the V100 and H100 groups are never comparable
# note,"the builder loads its own per-row snapshots and tasks, so the plan's own load is unused"
machine,config,metric,T,TL,TLV,V
V100,Qwen3-VL-2B,prefill_s,0.4,0.7,35.1,36.9
V100,Qwen3-VL-2B,decode_s,4.9,5.8,6.2,6.3
V100,Qwen3-VL-2B,cells,843,833,821,845
V100,Qwen3-VL-4B,prefill_s,0.9,1.4,33.4,37.4
V100,Qwen3-VL-4B,decode_s,6.3,7.5,6.4,7.5
V100,Qwen3-VL-4B,cells,839,800,761,842
V100,"Qwen3-VL-8B, 16-bit",prefill_s,1.4,1.8,26.3,29.0
V100,"Qwen3-VL-8B, 16-bit",decode_s,5.7,6.6,6.7,7.1
V100,"Qwen3-VL-8B, 16-bit",cells,831,761,717,834
V100,"Qwen3-VL-8B, 8-bit",prefill_s,0.7,1.0,26.0,29.1
V100,"Qwen3-VL-8B, 8-bit",decode_s,18.5,21.4,21.6,21.9
V100,"Qwen3-VL-8B, 8-bit",cells,837,786,743,839
V100,"Qwen3-VL-8B, 4-bit",prefill_s,1.5,2.2,30.2,32.4
V100,"Qwen3-VL-8B, 4-bit",decode_s,9.3,10.9,10.6,11.2
V100,"Qwen3-VL-8B, 4-bit",cells,839,800,762,843
V100,Qwen3-VL-8B-Thinking,prefill_s,1.5,1.9,28.2,36.0
V100,Qwen3-VL-8B-Thinking,decode_s,75.3,79.4,50.8,46.2
V100,Qwen3-VL-8B-Thinking,cells,376,362,735,377
V100,InternVL3-8B,prefill_s,-,-,-,-
V100,InternVL3-8B,decode_s,-,-,-,-
V100,InternVL3-8B,cells,831,762,742,845
V100,MiniCPM-V-4.5 (8B),prefill_s,-,-,-,-
V100,MiniCPM-V-4.5 (8B),decode_s,-,-,-,-
V100,MiniCPM-V-4.5 (8B),cells,814,730,640,809
V100,GLM-4.6V-Flash (9B),prefill_s,1.9,2.7,23.8,24.2
V100,GLM-4.6V-Flash (9B),decode_s,1.7,2.0,0.8,0.5
V100,GLM-4.6V-Flash (9B),cells,840,802,783,845
V100,Gemma-3-4B,prefill_s,0.8,1.5,3.2,1.8
V100,Gemma-3-4B,decode_s,2.2,2.5,2.5,2.0
V100,Gemma-3-4B,cells,846,843,828,829
V100,Gemma-3-12B,prefill_s,2.4,3.5,5.1,2.3
V100,Gemma-3-12B,decode_s,4.0,4.3,3.8,3.3
V100,Gemma-3-12B,cells,840,802,737,775
H100,Qwen3-VL-32B,prefill_s,0.2,0.4,0.6,0.2
H100,Qwen3-VL-32B,decode_s,5.3,6.5,6.6,6.2
H100,Qwen3-VL-32B,cells,847,847,846,847
H100,"Qwen3-VL-32B, 4-bit",prefill_s,0.3,0.4,0.6,0.3
H100,"Qwen3-VL-32B, 4-bit",decode_s,4.6,5.6,5.8,5.4
H100,"Qwen3-VL-32B, 4-bit",cells,847,847,847,847
(any),input tokens,mean,938,1658,5091,3470
(any),input tokens,min-max,29-26636,37-29489,1838-58679,1822-43227
(any),input tokens,cells,840,840,840,840
