# swept,rung transition x doc_type
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# pairing,"within-question, both rungs status==ok"
pairing,doc_type,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
TL->TLV,Locating,6.8 (44),9.0 (58),43.2 (280),41.0 (266),648
TL->TLV,Reasoning,12.5 (42),6.5 (22),60.8 (205),20.2 (68),337
TL->TLV,Understanding,8.5 (101),2.8 (33),74.9 (886),13.8 (163),1183
TL->TLV,**All doc_types**,8.6 (187),5.2 (113),63.2 (1371),22.9 (497),2168
T->TL,Locating,14.3 (95),6.8 (45),37.3 (248),41.7 (277),665
T->TL,Reasoning,10.0 (35),9.4 (33),57.5 (202),23.1 (81),351
T->TL,Understanding,10.1 (122),7.3 (88),67.0 (808),15.6 (188),1206
T->TL,**All doc_types**,11.3 (252),7.5 (166),56.6 (1258),24.6 (546),2222
T->TLV,Locating,14.4 (93),8.0 (52),35.6 (230),42.0 (271),646
T->TLV,Reasoning,14.5 (49),7.4 (25),58.8 (198),19.3 (65),337
T->TLV,Understanding,13.1 (155),4.3 (51),70.3 (832),12.3 (145),1183
T->TLV,**All doc_types**,13.7 (297),5.9 (128),58.2 (1260),22.2 (481),2166
T->TV,Locating,11.1 (76),7.9 (54),35.3 (241),45.6 (311),682
T->TV,Reasoning,11.4 (42),6.5 (24),60.5 (224),21.6 (80),370
T->TV,Understanding,11.2 (137),4.0 (49),70.4 (858),14.3 (174),1218
T->TV,**All doc_types**,11.2 (255),5.6 (127),58.3 (1323),24.9 (565),2270
TV->TLV,Locating,10.1 (65),6.8 (44),40.0 (258),43.1 (278),645
TV->TLV,Reasoning,10.1 (34),9.2 (31),63.1 (212),17.6 (59),336
TV->TLV,Understanding,5.1 (60),3.9 (46),78.4 (924),12.6 (149),1179
TV->TLV,**All doc_types**,7.4 (159),5.6 (121),64.5 (1394),22.5 (486),2160
n (per col),"TL->TLV: 2168, T->TL: 2222, T->TLV: 2166, T->TV: 2270, TV->TLV: 2160",-,-,-,-,-
