# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# judge,"results.errcat.jsonl — judge label gemini-flash-errcat, the error-taxonomy prompt. Same model and same correctness rubric as the main report's judge, but 1.8-3.0 points stricter in practice; levels are not interchangeable with the main report's"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
none,Chart,16.3 [10.7-21.9] (n=178) a32.6 w51.1,16.9 [11.3-23.2] (n=178) a28.1 w55.1,42.7 [34.4-51.6] (n=178) a7.3 w50.0,40.4 [32.0-49.2] (n=178) a6.2 w53.4
none,Figure,14.5 [10.3-19.2] (n=290) a36.6 w49.0,22.1 [16.7-28.2] (n=290) a24.8 w53.1,42.4 [35.7-48.6] (n=290) a7.6 w50.0,39.0 [32.9-44.9] (n=290) a7.9 w53.1
none,Generalized-text (Layout),26.3 [16.4-35.9] (n=118) a20.3 w53.4,33.9 [24.2-43.6] (n=118) a10.2 w55.9,49.2 [40.8-57.1] (n=118) a0.8 w50.0,43.2 [34.9-51.7] (n=118) a4.2 w52.5
none,Pure-text (Plain-text),36.9 [29.5-44.4] (n=287) a23.0 w40.1,44.4 [37.3-51.6] (n=286) a11.5 w44.1,51.0 [43.4-58.4] (n=286) a7.3 w41.6,42.3 [35.7-49.1] (n=286) a8.0 w49.7
none,Table,35.6 [29.7-41.7] (n=208) a15.9 w48.6,44.7 [37.0-52.1] (n=208) a7.2 w48.1,44.7 [37.6-52.2] (n=208) a6.7 w48.6,34.1 [26.6-41.4] (n=208) a9.1 w56.7
none,(none),52.6 [31.2-73.7] (n=19) a26.3 w21.1†,63.2 [38.9-83.3] (n=19) a15.8 w21.1†,73.7 [52.6-91.3] (n=19) a10.5 w15.8†,47.4 [27.7-66.7] (n=19) a5.3 w47.4†
none,**All sources**,29.0 [24.5-33.6] (n=834) a26.3 w44.7,35.7 [31.6-39.5] (n=833) a17.2 w47.2,49.5 [45.0-53.4] (n=833) a6.2 w44.3,42.6 [38.9-46.4] (n=833) a7.1 w50.3
grounded,Chart,15.2 [9.0-21.8] (n=178) a28.1 w56.7,14.6 [9.5-20.9] (n=178) a23.0 w62.4,31.5 [24.8-38.8] (n=178) a5.1 w63.5,28.1 [21.6-35.2] (n=178) a5.6 w66.3
grounded,Figure,11.4 [7.7-15.9] (n=290) a34.1 w54.5,21.4 [16.1-27.0] (n=290) a21.4 w57.2,40.7 [34.3-46.7] (n=290) a7.2 w52.1,37.9 [32.0-43.9] (n=290) a7.9 w54.1
grounded,Generalized-text (Layout),19.5 [11.7-28.6] (n=118) a17.8 w62.7,29.7 [20.7-38.6] (n=118) a6.8 w63.6,43.2 [33.9-53.3] (n=118) a0.0 w56.8,44.9 [35.6-54.9] (n=118) a0.8 w54.2
grounded,Pure-text (Plain-text),35.2 [28.4-41.9] (n=287) a19.9 w44.9,42.3 [34.9-48.7] (n=286) a10.1 w47.6,49.0 [41.0-56.3] (n=286) a7.0 w44.1,40.6 [34.0-47.5] (n=286) a6.3 w53.1
grounded,Table,27.9 [22.1-34.3] (n=208) a17.3 w54.8,37.5 [30.4-45.3] (n=208) a13.0 w49.5,38.5 [31.1-47.0] (n=208) a7.2 w54.3,28.4 [22.3-36.1] (n=208) a8.2 w63.5
grounded,(none),36.8 [17.4-61.1] (n=19) a15.8 w47.4†,57.9 [33.3-81.8] (n=19) a15.8 w26.3†,52.6 [29.4-75.0] (n=19) a5.3 w42.1†,36.8 [15.8-58.8] (n=19) a5.3 w57.9†
grounded,**All sources**,24.9 [20.6-28.6] (n=834) a24.1 w51.0,32.3 [28.3-35.9] (n=833) a16.2 w51.5,43.7 [39.5-47.9] (n=833) a6.0 w50.3,37.9 [33.8-41.9] (n=833) a6.5 w55.6
abstain,Chart,13.5 [7.8-19.9] (n=178) a52.2 w34.3,11.8 [6.7-17.6] (n=178) a59.0 w29.2,26.4 [20.1-33.7] (n=178) a25.3 w48.3,22.5 [16.2-29.3] (n=178) a27.5 w50.0
abstain,Figure,6.9 [3.8-10.5] (n=290) a76.2 w16.9,13.8 [9.9-17.5] (n=290) a65.2 w21.0,34.1 [27.5-40.6] (n=290) a35.5 w30.3,30.3 [24.4-36.2] (n=290) a38.3 w31.4
abstain,Generalized-text (Layout),19.5 [11.7-28.6] (n=118) a55.9 w24.6,25.4 [17.6-33.6] (n=118) a44.1 w30.5,41.5 [31.9-51.6] (n=118) a19.5 w39.0,37.3 [28.0-47.1] (n=118) a25.4 w37.3
abstain,Pure-text (Plain-text),31.7 [25.2-38.0] (n=287) a42.5 w25.8,37.8 [31.2-44.4] (n=286) a36.0 w26.2,43.7 [36.0-51.3] (n=286) a24.1 w32.2,34.3 [27.6-41.4] (n=286) a31.1 w34.6
abstain,Table,24.5 [18.8-30.7] (n=208) a43.3 w32.2,37.0 [30.0-44.9] (n=208) a37.0 w26.0,38.5 [31.3-46.1] (n=208) a30.3 w31.2,26.4 [20.5-33.3] (n=208) a38.9 w34.6
abstain,(none),31.6 [12.5-55.6] (n=19) a36.8 w31.6†,52.6 [25.0-77.3] (n=19) a31.6 w15.8†,57.9 [30.0-81.8] (n=19) a26.3 w15.8†,36.8 [15.8-58.8] (n=19) a36.8 w26.3†
abstain,**All sources**,21.7 [17.7-25.2] (n=834) a52.8 w25.5,27.9 [24.3-31.2] (n=833) a47.7 w24.5,40.0 [35.7-44.1] (n=833) a27.7 w32.3,31.9 [28.1-35.9] (n=833) a32.3 w35.8
abstain_balanced,Chart,12.4 [6.9-18.9] (n=178) a44.9 w42.7,11.8 [6.4-17.8] (n=178) a51.7 w36.5,28.1 [21.4-35.9] (n=178) a18.5 w53.4,23.0 [17.2-29.4] (n=178) a24.2 w52.8
abstain_balanced,Figure,6.9 [3.8-10.6] (n=290) a71.7 w21.4,14.5 [10.1-18.9] (n=290) a62.4 w23.1,35.5 [29.4-41.5] (n=290) a31.4 w33.1,32.8 [26.4-38.9] (n=290) a33.4 w33.8
abstain_balanced,Generalized-text (Layout),19.5 [11.7-28.6] (n=118) a52.5 w28.0,28.8 [20.0-37.8] (n=118) a41.5 w29.7,41.5 [32.5-50.9] (n=118) a18.6 w39.8,39.8 [30.5-50.0] (n=118) a21.2 w39.0
abstain_balanced,Pure-text (Plain-text),31.0 [24.2-37.3] (n=287) a39.7 w29.3,37.8 [30.9-44.3] (n=286) a33.2 w29.0,45.5 [37.8-53.0] (n=286) a19.2 w35.3,34.3 [27.7-41.1] (n=286) a25.5 w40.2
abstain_balanced,Table,24.0 [18.3-30.2] (n=208) a38.5 w37.5,36.1 [29.3-43.8] (n=208) a30.3 w33.7,35.6 [28.8-43.6] (n=208) a25.5 w38.9,28.4 [22.4-35.7] (n=208) a34.6 w37.0
abstain_balanced,(none),36.8 [17.4-61.1] (n=19) a26.3 w36.8†,57.9 [33.3-81.8] (n=19) a31.6 w10.5†,63.2 [37.5-87.5] (n=19) a21.1 w15.8†,36.8 [15.8-58.8] (n=19) a31.6 w31.6†
abstain_balanced,**All sources**,21.7 [17.7-25.4] (n=834) a48.2 w30.1,28.6 [24.8-32.0] (n=833) a43.5 w28.0,40.9 [36.3-45.1] (n=833) a23.2 w35.9,33.5 [29.7-37.5] (n=833) a27.9 w38.7
cot,Chart,19.7 [13.7-25.6] (n=178) a16.3 w64.0,16.3 [11.2-22.1] (n=178) a42.1 w41.6,43.3 [36.1-50.9] (n=178) a9.6 w47.2,38.2 [30.1-46.2] (n=178) a5.6 w56.2
cot,Figure,11.0 [7.1-15.5] (n=290) a15.9 w73.1,17.9 [13.5-22.7] (n=290) a26.2 w55.9,43.8 [36.4-50.3] (n=290) a6.9 w49.3,43.8 [37.6-50.0] (n=290) a5.9 w50.3
cot,Generalized-text (Layout),25.4 [16.7-34.5] (n=118) a3.4 w71.2,34.7 [25.2-44.0] (n=118) a11.0 w54.2,49.2 [38.9-59.6] (n=118) a3.4 w47.5,54.2 [44.8-63.4] (n=118) a3.4 w42.4
cot,Pure-text (Plain-text),32.4 [26.3-38.7] (n=287) a13.9 w53.7,42.3 [35.4-49.2] (n=286) a15.7 w42.0,51.0 [43.9-58.0] (n=286) a7.7 w41.3,46.2 [39.4-52.4] (n=286) a5.6 w48.3
cot,Table,37.5 [31.5-43.9] (n=208) a10.6 w51.9,48.6 [42.1-55.2] (n=208) a12.0 w39.4,51.4 [45.9-58.0] (n=208) a7.2 w41.3,44.0 [35.7-52.4] (n=207) a5.3 w50.7
cot,(none),26.3 [5.6-47.1] (n=19) a21.1 w52.6†,57.9 [37.5-77.8] (n=19) a10.5 w31.6†,57.9 [36.3-81.2] (n=19) a15.8 w26.3†,52.6 [30.0-75.0] (n=19) a10.5 w36.8†
cot,**All sources**,26.9 [22.8-30.9] (n=834) a13.3 w59.8,34.1 [30.7-37.7] (n=833) a21.7 w44.2,50.2 [46.6-54.2] (n=833) a6.6 w43.2,46.9 [42.8-51.1] (n=832) a5.3 w47.8
extract_cot,Chart,13.1 [8.0-18.7] (n=176) a19.3 w67.6,16.3 [10.3-22.8] (n=178) a37.6 w46.1,36.6 [29.1-44.8] (n=175) a6.3 w57.1,35.6 [27.2-45.2] (n=177) a7.3 w57.1
extract_cot,Figure,10.3 [6.7-14.6] (n=290) a27.6 w62.1,20.1 [15.2-25.8] (n=288) a36.5 w43.4,43.3 [36.8-49.6] (n=289) a11.1 w45.7,39.4 [33.6-45.3] (n=289) a11.8 w48.8
extract_cot,Generalized-text (Layout),21.2 [13.2-30.6] (n=118) a7.6 w71.2,34.2 [25.0-43.5] (n=117) a18.8 w47.0,51.3 [42.9-59.7] (n=117) a2.6 w46.2,51.7 [43.6-60.2] (n=118) a4.2 w44.1
extract_cot,Pure-text (Plain-text),34.5 [27.4-41.1] (n=287) a17.1 w48.4,40.4 [33.8-47.1] (n=285) a19.3 w40.4,48.2 [41.2-54.9] (n=284) a9.9 w41.9,41.2 [34.5-48.3] (n=284) a11.6 w47.2
