# swept,"added distractor count × gold count, on the question set surviving every count"
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# ranker,"colqwen3 only, matching the main text and figure"
# rung,TLV only
# pairing,one fixed question set per gold block: answered at the oracle and at every distractor count the block ran
# reading,"this is the slope to quote. The per-condition distractor tables pair each count against the oracle separately, so their columns sit on different pools once OOM attrition starts"
gold pages,condition,accuracy (%),delta (pts),matched n
1 gold page,oracle (d=0),69.4,-,196
1 gold page,+1 distractor,68.4,-1.0,196
1 gold page,+2 distractors,65.8,-3.6,196
1 gold page,+3 distractors,67.3,-2.0,196
1 gold page,+4 distractors,66.3,-3.1,196
1 gold page,+5 distractors,65.3,-4.1,196
1 gold page,+6 distractors,65.3,-4.1,196
2 gold pages,oracle (d=0),48.2,-,83
2 gold pages,+1 distractor,48.2,+0.0,83
2 gold pages,+2 distractors,44.6,-3.6,83
2 gold pages,+3 distractors,41.0,-7.2,83
2 gold pages,+4 distractors,48.2,+0.0,83
2 gold pages,+5 distractors,45.8,-2.4,83
3 gold pages,oracle (d=0),47.5,-,40
3 gold pages,+1 distractor,45.0,-2.5,40
3 gold pages,+2 distractors,40.0,-7.5,40
3 gold pages,+3 distractors,40.0,-7.5,40
