# swept,gold evidence-page count (single vs multi) x rung
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# hop,"single/multi only, hop=none dropped"
# gap,"M − S = multi-page minus single-page accuracy, in points (negative = multi-page is worse)"
task_tag,rung,single,multi,M − S,n
Understanding,T,74.3 [68.0-80.1],73.9 [69.6-78.1],-0.4,1229
Understanding,TL,79.1 [75.9-82.3],75.1 [70.6-79.4],-4.1,1207
Understanding,TV,83.5 [80.3-86.4],79.9 [76.7-82.9],-3.6,1218
Understanding,TLV,82.9 [80.0-85.8],84.0 [80.4-87.5],+1.0,1183
Understanding,V,74.2 [70.3-78.0],75.0 [71.4-78.4],+0.9,1229
Locating,T,51.1 [42.5-59.8],37.0 [30.3-44.0],-14.1,685
Locating,TL,64.6 [56.4-71.6],40.2 [34.0-46.6],-24.5,665
Locating,TV,52.6 [44.9-59.8],41.2 [34.2-48.0],-11.5,680
Locating,TLV,58.0 [49.6-66.3],42.8 [35.6-50.3],-15.2,646
Locating,V,52.0 [44.5-59.3],39.8 [33.8-46.6],-12.2,692
Reasoning,T,61.4 [52.3-70.2],70.6 [64.8-76.6],+9.2,379
Reasoning,TL,72.5 [65.9-79.5],63.6 [57.1-70.6],-8.9,351
Reasoning,TV,70.3 [63.2-77.6],73.1 [66.7-79.1],+2.9,370
Reasoning,TLV,75.7 [69.1-81.7],71.4 [64.8-77.4],-4.3,337
Reasoning,V,52.5 [43.9-60.4],62.3 [55.2-68.7],+9.8,381
n (per col),-,5428,5824,-,-
