# swept,"rung transition (TL→TLV, T→TL, T→TLV, T→TV, TV→TLV) × evidence source"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"complete answerable pool — g4-faithfulness-full prompt_mode=none (T/TL/TLV/V) + g1-tv-full (TV), 847 questions x 5 rungs, no OOM attrition"
# page_selection,oracle
# prompt_mode,none
# pairing,"within-question, both rungs status==ok"
# All sources row,"pooled over questions, each counted once; not a column sum, has its own paired n"
pairing,evidence_source,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
TL->TLV,(none),10.5 (2),0.0 (0),63.2 (12),26.3 (5),19
TL->TLV,Chart,29.8 (53),3.4 (6),15.7 (28),51.1 (91),178
TL->TLV,Figure,22.4 (65),1.4 (4),22.4 (65),53.8 (156),290
TL->TLV,Generalized-text (Layout),16.9 (20),3.4 (4),33.9 (40),45.8 (54),118
TL->TLV,Pure-text (Plain-text),10.3 (30),2.7 (8),45.0 (131),41.9 (122),291
TL->TLV,Table,7.8 (17),7.8 (17),40.6 (88),43.8 (95),217
TL->TLV,**All sources**,17.6 (149),3.9 (33),34.9 (296),43.6 (369),847
T->TL,(none),10.5 (2),0.0 (0),52.6 (10),36.8 (7),19
T->TL,Chart,6.2 (11),5.6 (10),12.9 (23),75.3 (134),178
T->TL,Figure,13.4 (39),5.2 (15),10.3 (30),71.0 (206),290
T->TL,Generalized-text (Layout),14.4 (17),5.1 (6),22.9 (27),57.6 (68),118
T->TL,Pure-text (Plain-text),12.7 (37),4.1 (12),35.1 (102),48.1 (140),291
T->TL,Table,16.1 (35),8.3 (18),32.3 (70),43.3 (94),217
T->TL,**All sources**,12.5 (106),5.5 (47),26.3 (223),55.6 (471),847
T->TLV,(none),21.1 (4),0.0 (0),52.6 (10),26.3 (5),19
T->TLV,Chart,30.9 (55),3.9 (7),14.6 (26),50.6 (90),178
T->TLV,Figure,33.1 (96),3.8 (11),11.7 (34),51.4 (149),290
T->TLV,Generalized-text (Layout),28.8 (34),5.9 (7),22.0 (26),43.2 (51),118
T->TLV,Pure-text (Plain-text),19.2 (56),3.1 (9),36.1 (105),41.6 (121),291
T->TLV,Table,18.0 (39),10.1 (22),30.4 (66),41.5 (90),217
T->TLV,**All sources**,25.4 (215),4.7 (40),27.2 (230),42.7 (362),847
T->TV,(none),15.8 (3),0.0 (0),52.6 (10),31.6 (6),19
T->TV,Chart,26.4 (47),2.8 (5),15.7 (28),55.1 (98),178
T->TV,Figure,32.4 (94),2.4 (7),13.1 (38),52.1 (151),290
T->TV,Generalized-text (Layout),25.4 (30),4.2 (5),23.7 (28),46.6 (55),118
T->TV,Pure-text (Plain-text),17.5 (51),3.1 (9),36.1 (105),43.3 (126),291
T->TV,Table,15.2 (33),8.8 (19),31.8 (69),44.2 (96),217
T->TV,**All sources**,23.4 (198),3.7 (31),28.2 (239),44.7 (379),847
TV->TLV,(none),5.3 (1),0.0 (0),68.4 (13),26.3 (5),19
TV->TLV,Chart,9.6 (17),6.2 (11),36.0 (64),48.3 (86),178
TV->TLV,Figure,7.6 (22),8.3 (24),37.2 (108),46.9 (136),290
TV->TLV,Generalized-text (Layout),8.5 (10),6.8 (8),42.4 (50),42.4 (50),118
TV->TLV,Pure-text (Plain-text),5.2 (15),3.4 (10),50.2 (146),41.2 (120),291
TV->TLV,Table,6.0 (13),4.6 (10),42.4 (92),47.0 (102),217
TV->TLV,**All sources**,6.8 (58),5.9 (50),45.7 (387),41.6 (352),847
n (per col),"TL->TLV: 847, T->TL: 847, T->TLV: 847, T->TV: 847, TV->TLV: 847",-,-,-,-,-
