# swept,"error category × evidence source (answerable pool, oracle pages, TLV)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# judge,"results.errcat.jsonl — judge label gemini-flash-errcat, the error-taxonomy prompt. Same model and same correctness rubric as the main report's judge, but 1.8-3.0 points stricter in practice; levels are not interchangeable with the main report's"
# unit,"shares are of the questions in a column's pool, not of its wrong answers, so a column sums to its All incorrect row; categories are first-match-wins over config.ERROR_CATEGORIES"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
error_category,Chart,Figure,Generalized-text (Layout),Pure-text (Plain-text),Table,All sources
insufficient_evidence,7.3,7.6,0.8,7.3,6.2,6.1
no_answer_reached,7.9,4.5,2.5,3.8,14.4,6.8
equivocal,1.1,1.4,0.8,0.3,1.4,1.1
wrong_count,10.1,24.1,28.8,12.9,7.7,14.4
wrong_value,15.7,4.8,5.9,9.1,15.4,9.0
wrong_entity,10.7,9.3,6.8,7.0,5.8,7.7
incomplete_list,1.7,2.8,1.7,2.1,0.5,1.8
over_inclusive_list,0.0,2.4,2.5,3.5,2.4,2.2
unit_or_format_mismatch,2.8,0.3,0.8,2.8,1.4,1.3
other,0.0,0.3,0.0,0.0,0.0,0.1
All incorrect,57.3,57.6,50.8,49.0,55.3,50.5
n (per col),178,290,118,286,208,833
