# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# direction,"abstaining is an error only where the RUNG carried the evidence; read the d component, not the pooled rate"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
none,Chart,12.9 (n=178) 3.8d/37.5s,8.4 (n=178) 5.4d/16.7s,2.8 (n=178) 1.5d/6.2s,1.1 (n=178) 0.0d/4.2s
none,Figure,10.7 (n=290) 6.9d/17.8s,2.8 (n=290) 2.1d/4.0s,2.8 (n=290) 3.2d/2.0s,1.4 (n=290) 1.1d/2.0s
none,Generalized-text (Layout),2.5 (n=118) 2.4d/2.9s,4.2 (n=118) 1.2d/11.8s,0.0 (n=118) 0.0d/0.0s,0.8 (n=118) 0.0d/2.9s
none,Pure-text (Plain-text),4.5 (n=291) 1.7d/15.0s,1.7 (n=291) 0.4d/6.7s,1.7 (n=291) 1.3d/3.3s,0.3 (n=291) 0.0d/1.7s
none,Table,6.0 (n=217) 1.6d/33.3s,1.4 (n=217) 1.1d/3.3s,2.3 (n=217) 1.6d/6.7s,1.8 (n=217) 1.1d/6.7s
none,(none),5.3 (n=19) 0.0d/100.0s†,5.3 (n=19) 5.6d/0.0s†,0.0 (n=19) 0.0d/0.0s†,5.3 (n=19) 5.6d/0.0s†
none,**All sources**,7.4 (n=847) 3.2d/22.1s,3.3 (n=847) 2.3d/6.8s,1.7 (n=847) 1.4d/2.6s,1.1 (n=847) 0.8d/2.1s
grounded,Chart,16.9 (n=178) 3.8d/52.1s,2.8 (n=178) 2.3d/4.2s,1.1 (n=178) 0.0d/4.2s,0.6 (n=178) 0.0d/2.1s
grounded,Figure,10.3 (n=290) 2.6d/24.8s,0.3 (n=290) 0.5d/0.0s,0.7 (n=290) 0.5d/1.0s,1.0 (n=290) 1.1d/1.0s
grounded,Generalized-text (Layout),7.6 (n=118) 0.0d/26.5s,0.8 (n=118) 0.0d/2.9s,0.0 (n=118) 0.0d/0.0s,0.0 (n=118) 0.0d/0.0s
grounded,Pure-text (Plain-text),6.5 (n=291) 1.7d/25.0s,0.7 (n=291) 0.4d/1.7s,1.0 (n=291) 0.4d/3.3s,0.7 (n=291) 0.4d/1.7s
grounded,Table,10.1 (n=217) 1.1d/66.7s,1.4 (n=217) 1.6d/0.0s,0.9 (n=217) 1.1d/0.0s,0.0 (n=217) 0.0d/0.0s
grounded,(none),0.0 (n=19) 0.0d/0.0s†,0.0 (n=19) 0.0d/0.0s†,0.0 (n=19) 0.0d/0.0s†,0.0 (n=19) 0.0d/0.0s†
grounded,**All sources**,9.6 (n=847) 2.1d/35.3s,1.3 (n=847) 1.2d/1.6s,0.8 (n=847) 0.6d/1.6s,0.6 (n=847) 0.5d/1.1s
abstain,Chart,52.2 (n=178) 34.6d/100.0s,59.0 (n=178) 49.2d/85.4s,25.3 (n=178) 22.3d/33.3s,27.5 (n=178) 26.9d/29.2s
abstain,Figure,76.2 (n=290) 63.5d/100.0s,65.2 (n=290) 68.8d/58.4s,35.2 (n=290) 45.5d/15.8s,38.3 (n=290) 48.1d/19.8s
abstain,Generalized-text (Layout),55.9 (n=118) 38.1d/100.0s,44.1 (n=118) 39.3d/55.9s,19.5 (n=118) 23.8d/8.8s,25.4 (n=118) 27.4d/20.6s
abstain,Pure-text (Plain-text),41.9 (n=291) 26.8d/100.0s,35.4 (n=291) 29.9d/56.7s,23.7 (n=291) 22.1d/30.0s,30.9 (n=291) 28.6d/40.0s
abstain,Table,42.4 (n=217) 33.2d/100.0s,36.4 (n=217) 36.4d/36.7s,30.0 (n=217) 32.6d/13.3s,39.6 (n=217) 42.2d/23.3s
abstain,(none),36.8 (n=19) 33.3d/100.0s†,31.6 (n=19) 27.8d/100.0s†,26.3 (n=19) 27.8d/0.0s†,36.8 (n=19) 38.9d/0.0s†
abstain,**All sources**,52.2 (n=847) 38.4d/100.0s,47.1 (n=847) 44.1d/57.4s,27.4 (n=847) 29.7d/19.5s,32.5 (n=847) 35.5d/22.1s
abstain_balanced,Chart,44.9 (n=178) 24.6d/100.0s,51.7 (n=178) 41.5d/79.2s,18.5 (n=178) 15.4d/27.1s,24.2 (n=178) 22.3d/29.2s
abstain_balanced,Figure,71.7 (n=290) 56.6d/100.0s,62.1 (n=290) 65.6d/55.4s,31.0 (n=290) 41.8d/10.9s,33.1 (n=290) 42.3d/15.8s
abstain_balanced,Generalized-text (Layout),52.5 (n=118) 33.3d/100.0s,41.5 (n=118) 36.9d/52.9s,18.6 (n=118) 25.0d/2.9s,21.2 (n=118) 21.4d/20.6s
abstain_balanced,Pure-text (Plain-text),39.5 (n=291) 23.8d/100.0s,32.6 (n=291) 26.4d/56.7s,18.9 (n=291) 17.7d/23.3s,25.4 (n=291) 23.4d/33.3s
abstain_balanced,Table,37.8 (n=217) 27.8d/100.0s,30.0 (n=217) 30.5d/26.7s,25.3 (n=217) 27.3d/13.3s,34.6 (n=217) 36.9d/20.0s
abstain_balanced,(none),26.3 (n=19) 22.2d/100.0s†,31.6 (n=19) 27.8d/100.0s†,21.1 (n=19) 22.2d/0.0s†,31.6 (n=19) 33.3d/0.0s†
abstain_balanced,**All sources**,47.8 (n=847) 32.7d/100.0s,42.9 (n=847) 39.6d/54.2s,22.9 (n=847) 25.3d/14.7s,27.7 (n=847) 30.1d/19.5s
cot,Chart,3.9 (n=178) 3.1d/6.2s,13.5 (n=178) 10.0d/22.9s,1.1 (n=178) 1.5d/0.0s,1.1 (n=178) 1.5d/0.0s
cot,Figure,1.7 (n=290) 1.1d/3.0s,2.4 (n=290) 1.6d/4.0s,0.3 (n=290) 0.5d/0.0s,0.0 (n=290) 0.0d/0.0s
cot,Generalized-text (Layout),0.0 (n=118) 0.0d/0.0s,3.4 (n=118) 2.4d/5.9s,0.8 (n=118) 1.2d/0.0s,0.0 (n=118) 0.0d/0.0s
cot,Pure-text (Plain-text),4.1 (n=291) 2.6d/10.0s,3.1 (n=291) 2.2d/6.7s,1.0 (n=291) 1.3d/0.0s,0.7 (n=291) 0.9d/0.0s
cot,Table,3.2 (n=217) 1.6d/13.3s,2.8 (n=217) 1.6d/10.0s,2.3 (n=217) 2.7d/0.0s,0.0 (n=217) 0.0d/0.0s
cot,(none),10.5 (n=19) 11.1d/0.0s†,5.3 (n=19) 5.6d/0.0s†,5.3 (n=19) 5.6d/0.0s†,0.0 (n=19) 0.0d/0.0s†
cot,**All sources**,2.8 (n=847) 2.0d/5.8s,4.3 (n=847) 3.2d/7.9s,1.1 (n=847) 1.4d/0.0s,0.4 (n=847) 0.5d/0.0s
extract_cot,Chart,5.6 (n=178) 5.4d/6.2s,14.0 (n=178) 10.0d/25.0s,2.2 (n=178) 0.8d/6.2s,2.2 (n=178) 2.3d/2.1s
extract_cot,Figure,2.1 (n=290) 2.6d/1.0s,4.1 (n=290) 3.2d/5.9s,1.0 (n=290) 1.1d/1.0s,1.4 (n=290) 1.6d/1.0s
extract_cot,Generalized-text (Layout),1.7 (n=118) 2.4d/0.0s,3.4 (n=118) 1.2d/8.8s,0.8 (n=118) 0.0d/2.9s,1.7 (n=118) 2.4d/0.0s
extract_cot,Pure-text (Plain-text),1.4 (n=291) 0.9d/3.3s,3.4 (n=291) 2.2d/8.3s,2.4 (n=290) 1.3d/6.7s,3.1 (n=291) 3.5d/1.7s
extract_cot,Table,1.8 (n=217) 1.6d/3.3s,4.1 (n=217) 3.2d/10.0s,4.6 (n=217) 3.2d/13.3s,5.1 (n=217) 4.8d/6.7s
extract_cot,(none),5.3 (n=19) 5.6d/0.0s†,5.3 (n=19) 5.6d/0.0s†,10.5 (n=19) 11.1d/0.0s†,5.3 (n=19) 5.6d/0.0s†
extract_cot,**All sources**,2.5 (n=847) 2.4d/2.6s,5.7 (n=847) 4.4d/10.0s,2.1 (n=846) 1.7d/3.7s,2.4 (n=847) 2.7d/1.1s
n (per col),-,-,-,-,-
