# swept,visual_resolution (low / med / high)
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# representation,TLV/V only
# pool,answerable
# page_selection,oracle
# prompt_mode,none
doc_type,rung,low,med,high,n
Academic paper,TLV,37.0 [27.8-45.6],40.3 [31.8-48.7],46.8 [38.1-55.5],462
Academic paper,V,19.5 [12.7-26.7],30.5 [22.6-38.0],38.3 [29.5-47.0],462
Administration/Industry file,TLV,64.1 [53.2-75.4],68.8 [61.6-77.2],70.3 [60.0-83.0],192
Administration/Industry file,V,42.2 [29.8-53.1],51.6 [43.6-61.7],64.1 [54.1-75.0],192
Brochure,TLV,40.3 [28.4-52.1],42.9 [28.4-57.5],48.1 [35.0-61.8],231
Brochure,V,39.0 [28.0-51.3],45.5 [32.5-58.4],49.4 [37.0-63.2],231
Financial report,TLV,54.6 [45.2-61.9],52.8 [44.2-61.7],53.7 [46.7-61.7],324
Financial report,V,21.3 [11.9-28.6],36.1 [29.5-43.4],46.3 [38.9-53.2],324
Guidebook,TLV,48.3 [35.8-60.9],50.8 [37.7-63.2],51.7 [38.8-65.6],360
Guidebook,V,38.3 [28.6-47.6],47.5 [35.5-59.5],47.5 [36.4-59.6],360
Research report / Introduction,TLV,42.9 [33.9-50.9],49.5 [40.5-57.7],50.0 [40.5-58.4],636
Research report / Introduction,V,38.2 [29.2-46.4],47.2 [37.5-55.3],47.6 [39.2-55.0],636
Tutorial/Workshop,TLV,71.4 [62.6-80.3],74.1 [67.6-81.2],74.1 [66.7-80.9],336
Tutorial/Workshop,V,74.1 [67.7-81.2],67.9 [61.6-74.4],70.5 [62.2-78.3],336
n (per col),-,1694,1694,1694,-
