# swept,doc_type × rung × evidence-page bucket (1 / 2 / 3+)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# buckets,"gold evidence-page count from the corpus annotation, zero-evidence questions dropped; 3+ merges the detail table's 3 / 4-5 / 6+ tail"
doc_type,rung,1,2,3+,n
Academic paper,T,36.9 [22.5-50.6] (n=84),44.7 [28.6-60.4] (n=47),40.0 [8.3-64.7] (n=15),146
Academic paper,TL,33.3 [22.0-44.2] (n=81),50.0 [30.3-67.7] (n=36),36.4 [9.1-66.7] (n=11),128
Academic paper,TLV,38.8 [27.4-50.0] (n=80),50.0 [30.8-68.6] (n=32),40.0 [0.0-85.7] (n=5),117
Academic paper,V,29.8 [19.5-39.7] (n=84),33.3 [18.7-47.6] (n=48),36.8 [12.5-57.1] (n=19),151
Administration/Industry file,T,58.5 [38.3-80.6] (n=41),18.2 [0.0-45.5] (n=11),80.0 [25.0-100.0] (n=5),57
Administration/Industry file,TL,68.3 [57.4-81.1] (n=41),30.0 [0.0-69.2] (n=10),66.7 [0.0-100.0] (n=3),54
Administration/Industry file,TLV,85.4 [73.8-100.0] (n=41),50.0 [14.3-72.7] (n=10),100.0 [100.0-100.0] (n=1),52
Administration/Industry file,V,65.9 [56.5-77.1] (n=41),18.2 [0.0-28.6] (n=11),33.3 [0.0-80.0] (n=6),58
Brochure,T,22.9 [11.9-34.2] (n=48),47.1 [21.0-75.0] (n=17),20.0 [0.0-50.0] (n=10),75
Brochure,TL,30.6 [20.0-43.2] (n=49),35.3 [12.5-60.0] (n=17),40.0 [12.5-63.6] (n=10),76
Brochure,TLV,44.9 [30.2-60.8] (n=49),20.0 [0.0-47.1] (n=15),62.5 [28.6-88.9] (n=8),72
Brochure,V,44.9 [27.5-60.8] (n=49),47.1 [18.8-76.5] (n=17),45.5 [11.1-72.7] (n=11),77
Financial report,T,60.3 [46.3-72.9] (n=63),36.6 [25.6-46.7] (n=41),50.0 [0.0-100.0] (n=2),106
Financial report,TL,68.3 [54.5-78.0] (n=60),44.4 [11.1-77.8] (n=9),- (n=0),69
Financial report,TLV,76.7 [71.0-83.9] (n=60),42.9 [16.7-66.7] (n=7),- (n=0),67
Financial report,V,47.6 [33.9-62.3] (n=63),22.0 [13.1-33.3] (n=41),0.0 [0.0-0.0] (n=3),107
Guidebook,T,41.1 [26.0-58.3] (n=73),37.5 [17.8-57.9] (n=32),0.0 [0.0-0.0] (n=15),120
Guidebook,TL,44.4 [30.4-57.9] (n=72),32.3 [12.0-48.6] (n=31),0.0 [0.0-0.0] (n=12),115
Guidebook,TLV,58.3 [44.1-71.4] (n=72),41.9 [19.2-63.2] (n=31),28.6 [0.0-66.7] (n=7),110
Guidebook,V,54.8 [41.4-67.5] (n=73),37.5 [17.2-55.3] (n=32),30.8 [7.7-54.5] (n=13),118
Research report / Introduction,T,28.0 [17.3-39.8] (n=107),17.1 [9.1-26.7] (n=70),9.4 [0.0-22.6] (n=32),209
Research report / Introduction,TL,32.7 [21.9-43.1] (n=107),24.6 [14.5-35.6] (n=69),7.7 [0.0-20.8] (n=26),202
Research report / Introduction,TLV,67.3 [54.9-77.8] (n=107),35.3 [23.3-47.4] (n=68),18.2 [0.0-40.0] (n=11),186
Research report / Introduction,V,64.5 [53.2-73.8] (n=107),30.0 [17.2-42.5] (n=70),23.3 [7.1-41.2] (n=30),207
Tutorial/Workshop,T,22.2 [8.9-34.8] (n=63),0.0 [0.0-0.0] (n=27),0.0 [0.0-0.0] (n=19),109
Tutorial/Workshop,TL,52.4 [38.5-65.5] (n=63),40.7 [27.3-52.0] (n=27),38.9 [17.6-57.1] (n=18),108
Tutorial/Workshop,TLV,85.7 [76.9-93.9] (n=63),61.5 [42.8-78.6] (n=26),73.3 [50.0-92.9] (n=15),104
Tutorial/Workshop,V,81.0 [71.9-89.5] (n=63),63.0 [43.5-79.2] (n=27),47.1 [26.7-66.7] (n=17),107
**All**,T,37.2 [31.1-43.2] (n=479),28.6 [22.3-35.0] (n=245),16.3 [7.7-26.3] (n=98),822
**All**,TL,44.6 [38.7-50.2] (n=473),34.7 [27.7-41.9] (n=199),23.8 [14.1-33.7] (n=80),752
**All**,TLV,64.0 [58.4-69.5] (n=472),42.3 [34.7-49.8] (n=189),48.9 [32.6-63.8] (n=47),708
**All**,V,55.0 [49.7-60.2] (n=480),34.6 [27.9-41.2] (n=246),33.3 [24.2-42.9] (n=99),825
n (per col),-,1904,879,324,-
