# swept,quantization (bf16 / 8bit / 4bit)
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# note,16-bit baseline from the representation run
doc_type,quant,accuracy,vram_mb,acc_delta_vs_16bit,vram_delta_mb,n
Academic paper,4bit,36.4,12930,+0.2,-11165,616
Academic paper,8bit,36.5,17906,+0.3,-6189,616
Academic paper,16bit,36.2,24095,+0.0,+0,616
Administration/Industry file,4bit,58.2,15830,+1.6,-11165,256
Administration/Industry file,8bit,58.2,21395,+1.6,-5600,256
Administration/Industry file,16bit,56.6,26995,+0.0,+0,256
Brochure,4bit,37.3,11254,+0.6,-9119,308
Brochure,8bit,37.0,13433,+0.3,-6940,308
Brochure,16bit,36.7,20373,+0.0,+0,308
Financial report,4bit,47.9,12488,-0.2,-8412,432
Financial report,8bit,47.5,14065,-0.7,-6835,432
Financial report,16bit,48.1,20900,+0.0,+0,432
Guidebook,4bit,43.8,14428,+0.8,-11163,480
Guidebook,8bit,43.5,19656,+0.6,-5936,480
Guidebook,16bit,42.9,25592,+0.0,+0,480
Research report / Introduction,4bit,34.4,13555,-1.2,-9748,848
Research report / Introduction,8bit,35.3,16870,-0.4,-6433,848
Research report / Introduction,16bit,35.6,23303,+0.0,+0,848
Tutorial/Workshop,4bit,51.3,11490,+0.7,-9385,448
Tutorial/Workshop,8bit,52.7,14007,+2.0,-6868,448
Tutorial/Workshop,16bit,50.7,20875,+0.0,+0,448
n (per col),-,-,-,-,-,-
