# swept,page-set rule (gold withheld / distractors added) x ranking source x rung
# dataset,longdocurl
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# prompt_mode,none
# attrition,"OOM attrition is NESTED, not random: at TLV the questions that OOM at d=5 are a strict superset of those at d=4, and so on down. A cell at high distractor count is therefore the surviving lightest questions, so compare down a column only on the matched question set, never on the raw per-cell accuracy"
# cells,"per-cell n rides inline; a thin cell reads as survivorship, not robustness, so this is a trend table rather than a precision one"
condition,ranker,T,TL,TLV,V,n
"**oracle (all gold, hop=multi)**",-,62.2 [58.6-65.9] (n=1200),62.4 [58.9-66.2] (n=1147),69.3 [65.8-73.0] (n=1093),62.0 [58.3-65.5] (n=1209),5824
drop bottom 1,bm25,46.1 [42.2-50.7] (n=1212),48.0 [43.8-52.6] (n=1189),50.3 [46.1-54.7] (n=1176),46.2 [42.1-50.1] (n=1209),4786
drop bottom 1,colqwen3,47.2 [43.2-51.6] (n=1212),50.4 [46.2-54.8] (n=1186),52.5 [48.2-56.7] (n=1172),48.9 [44.8-52.9] (n=1209),4779
drop top 1,bm25,28.5 [25.2-32.2] (n=1211),29.5 [26.5-32.8] (n=1181),29.1 [25.8-32.6] (n=1161),27.0 [24.0-30.2] (n=1209),4762
drop top 1,colqwen3,28.0 [24.7-31.6] (n=1211),26.7 [23.7-29.8] (n=1185),27.8 [24.5-31.3] (n=1164),24.9 [22.0-28.2] (n=1209),4769
keep bottom 1,bm25,25.2 [22.1-28.4] (n=1222),25.3 [22.2-28.5] (n=1207),25.2 [22.1-28.2] (n=1200),23.3 [20.5-26.0] (n=1222),4851
keep bottom 1,colqwen3,24.5 [21.7-27.4] (n=1222),23.1 [20.1-26.2] (n=1206),24.3 [21.6-27.2] (n=1203),21.1 [18.5-23.7] (n=1222),4853
keep top 1,bm25,43.8 [39.9-48.0] (n=1222),44.2 [39.7-48.6] (n=1216),47.0 [42.6-51.4] (n=1216),42.8 [38.8-46.8] (n=1222),4876
keep top 1,colqwen3,44.8 [40.9-49.0] (n=1222),47.4 [43.3-51.7] (n=1217),49.1 [45.1-53.6] (n=1216),45.4 [41.5-49.5] (n=1222),4877
"**oracle (gold 1, d=0)**",-,65.6 [60.6-70.5] (n=1093),74.0 [70.7-77.0] (n=1076),74.7 [71.4-77.9] (n=1073),64.5 [61.0-68.3] (n=1093),5428
gold 1 + 1 distractors,colqwen3,65.4 [60.3-70.1] (n=1087),72.4 [69.1-75.8] (n=1028),74.4 [70.8-77.9] (n=988),63.0 [59.4-66.6] (n=1093),4196
gold 1 + 2 distractors,colqwen3,65.1 [60.1-69.5] (n=1074),68.7 [64.7-72.5] (n=927),72.0 [67.8-76.2] (n=835),63.9 [60.4-67.4] (n=1093),3929
gold 1 + 3 distractors,colqwen3,64.5 [59.9-69.0] (n=1060),68.0 [63.7-71.7] (n=827),68.4 [63.5-73.2] (n=681),62.1 [58.7-65.3] (n=1093),3661
gold 1 + 4 distractors,colqwen3,63.5 [58.5-67.7] (n=1040),68.0 [63.8-72.4] (n=719),72.2 [67.2-76.9] (n=507),62.5 [58.9-66.0] (n=1093),3359
gold 1 + 5 distractors,colqwen3,64.6 [59.5-69.4] (n=1004),69.1 [64.4-73.6] (n=624),70.2 [64.6-75.4] (n=342),60.8 [57.2-64.4] (n=1093),3063
"**oracle (gold 2, d=0)**",-,62.2 [58.2-66.3] (n=898),63.4 [59.3-67.7] (n=871),70.4 [66.6-74.5] (n=846),61.5 [57.4-65.6] (n=906),4417
gold 2 + 1 distractors,colqwen3,58.7 [54.4-63.1] (n=894),63.0 [58.6-67.6] (n=825),66.2 [61.9-70.6] (n=779),57.9 [53.9-62.2] (n=906),3404
gold 2 + 2 distractors,colqwen3,58.9 [55.0-63.2] (n=884),62.2 [57.4-66.5] (n=781),66.4 [61.8-71.0] (n=679),57.4 [53.1-61.8] (n=906),3250
gold 2 + 3 distractors,colqwen3,58.1 [54.2-62.3] (n=867),63.3 [58.7-68.3] (n=716),70.8 [65.1-75.8] (n=579),57.8 [53.6-62.2] (n=906),3068
gold 2 + 4 distractors,colqwen3,57.8 [53.6-62.1] (n=843),63.2 [58.6-68.3] (n=661),68.3 [63.3-73.9] (n=458),57.1 [52.8-61.4] (n=906),2868
n (per col),-,18487,16695,15356,18813,-
