# swept,evidence hop (single vs multi) × evidence source × rung
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# hop,"single/multi only, hop=none dropped"
# gap column,"M − S = multi-page minus single-page accuracy, in points (negative = multi-page is worse)"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
evidence_source,rung,single,multi,M − S,n
(none),T,64.3 [42.9-85.7] (n=14),20.0 [0.0-60.0] (n=5),-44.3,19
(none),TL,78.6 [53.8-100.0] (n=14),0.0 [0.0-0.0] (n=3),-78.6,17
(none),TLV,85.7 [61.5-100.0] (n=14),0.0 [0.0-0.0] (n=3),-85.7,17
(none),V,57.1 [33.3-80.0] (n=14),20.0 [0.0-60.0] (n=5),-37.1,19
Chart,T,20.4 [12.4-29.7] (n=98),15.8 [7.8-24.7] (n=76),-4.6,174
Chart,TL,17.3 [10.0-25.3] (n=98),21.9 [12.7-32.1] (n=73),+4.6,171
Chart,TLV,58.2 [44.8-69.2] (n=98),35.0 [22.2-48.2] (n=60),-23.2,158
Chart,V,57.1 [44.9-68.1] (n=98),31.1 [20.3-43.3] (n=74),-26.1,172
Figure,T,18.2 [12.1-25.3] (n=165),11.2 [5.6-18.5] (n=116),-7.0,281
Figure,TL,24.7 [17.8-31.8] (n=166),19.6 [12.0-27.6] (n=107),-5.1,273
Figure,TLV,49.4 [40.9-58.1] (n=166),40.9 [28.7-51.1] (n=93),-8.5,259
Figure,V,45.2 [36.5-52.8] (n=166),35.3 [26.9-43.7] (n=116),-9.8,282
Generalized-text (Layout),T,34.5 [18.9-50.0] (n=55),22.4 [10.5-35.6] (n=58),-12.1,113
Generalized-text (Layout),TL,48.2 [35.4-62.1] (n=56),31.4 [17.3-44.9] (n=51),-16.8,107
Generalized-text (Layout),TLV,64.3 [51.9-76.9] (n=56),45.0 [28.9-61.4] (n=40),-19.3,96
Generalized-text (Layout),V,62.5 [48.9-75.5] (n=56),38.6 [26.8-50.0] (n=57),-23.9,113
Pure-text (Plain-text),T,46.8 [36.5-57.7] (n=154),31.0 [22.2-41.4] (n=126),-15.8,280
Pure-text (Plain-text),TL,56.2 [46.0-66.2] (n=153),38.5 [28.6-49.1] (n=117),-17.7,270
Pure-text (Plain-text),TLV,66.4 [55.3-76.1] (n=152),47.0 [35.6-58.7] (n=100),-19.4,252
Pure-text (Plain-text),V,55.8 [46.2-66.4] (n=154),31.8 [23.0-40.4] (n=129),-24.1,283
Table,T,49.0 [38.6-58.5] (n=104),33.3 [24.8-42.0] (n=108),-15.7,212
Table,TL,69.1 [59.8-77.1] (n=97),40.4 [27.6-54.5] (n=57),-28.7,154
Table,TLV,70.8 [62.2-78.9] (n=96),43.1 [28.3-56.1] (n=51),-27.7,147
Table,V,51.0 [41.7-59.6] (n=104),25.7 [17.7-35.3] (n=109),-25.3,213
**All sources**,**T**,**37.2 [31.1-43.2] (n=479)**,**25.1 [19.5-30.5] (n=343)**,**-12.1**,**822**
**All sources**,**TL**,**44.6 [38.7-50.2] (n=473)**,**31.5 [25.5-37.7] (n=279)**,**-13.1**,**752**
**All sources**,**TLV**,**64.0 [58.4-69.5] (n=472)**,**43.6 [36.0-50.4] (n=236)**,**-20.3**,**708**
**All sources**,**V**,**55.0 [49.7-60.2] (n=480)**,**34.2 [28.5-40.2] (n=345)**,**-20.8**,**825**
n (per col),-,1904,1203,-,-
