# swept,page_set condition (sufficiency / robustness) × ranking source × rung
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"all-gold row loaded from g1-representation-full (oracle, hop=multi) by the builder"
# status,empty until the G5 runs are generated + judged
condition,ranker,T,TL,TLV,V,n
"**oracle (all gold, hop=multi)**",-,25.1 [19.5-30.5] (n=343),31.5 [25.5-37.7] (n=279),43.6 [36.0-50.4] (n=236),34.2 [28.5-40.2] (n=345),1203
drop bottom 1,bm25,10.2 [7.1-14.3] (n=352),11.4 [7.9-14.9] (n=352),15.9 [12.2-20.8] (n=352),13.4 [9.7-17.7] (n=352),1408
drop bottom 1,colqwen3,11.4 [8.0-15.1] (n=352),13.4 [9.7-17.5] (n=352),18.5 [13.7-24.0] (n=352),15.1 [10.9-19.8] (n=352),1408
drop top 1,bm25,11.9 [8.3-16.0] (n=352),13.6 [10.3-17.5] (n=352),15.9 [12.1-19.8] (n=352),14.2 [10.5-17.8] (n=352),1408
drop top 1,colqwen3,10.8 [7.5-15.0] (n=352),11.1 [7.9-14.8] (n=352),15.9 [12.2-19.9] (n=352),13.9 [10.4-17.6] (n=352),1408
keep bottom 1,bm25,9.1 [5.9-12.8] (n=352),9.9 [7.0-13.4] (n=352),11.1 [7.9-14.2] (n=352),10.5 [7.8-13.6] (n=352),1408
keep bottom 1,colqwen3,9.4 [6.4-13.1] (n=352),9.7 [6.7-13.2] (n=352),10.5 [7.5-14.0] (n=352),9.9 [7.2-13.2] (n=352),1408
keep top 1,bm25,9.1 [6.2-12.8] (n=352),8.5 [5.8-11.7] (n=352),12.2 [9.0-16.6] (n=352),9.4 [6.2-13.4] (n=352),1408
keep top 1,colqwen3,9.1 [6.1-12.4] (n=352),10.2 [6.9-14.1] (n=352),12.8 [8.9-17.6] (n=352),11.1 [7.5-15.4] (n=352),1408
"**oracle (gold 1, d=0)**",-,37.2 [31.1-43.2] (n=479),44.6 [38.7-50.2] (n=473),64.0 [58.4-69.5] (n=472),55.0 [49.7-60.2] (n=480),1904
gold 1 + 1 distractors,bm25,39.7 [33.5-45.7] (n=474),46.8 [41.3-52.4] (n=474),64.6 [59.2-69.5] (n=474),57.4 [52.1-62.4] (n=474),1896
gold 1 + 1 distractors,colqwen3,39.5 [33.7-45.2] (n=474),48.9 [43.3-54.1] (n=474),63.7 [58.7-68.6] (n=474),55.7 [50.5-60.4] (n=474),1896
gold 1 + 2 distractors,bm25,40.9 [34.8-47.2] (n=474),46.2 [40.8-51.7] (n=474),64.8 [59.6-69.9] (n=474),53.6 [48.4-58.7] (n=474),1896
gold 1 + 2 distractors,colqwen3,38.8 [32.3-45.0] (n=474),47.9 [42.0-53.4] (n=474),64.3 [59.5-68.7] (n=474),56.1 [51.2-61.4] (n=474),1896
"**oracle (gold 2, d=0)**",-,28.6 [22.3-35.0] (n=245),34.7 [27.7-41.9] (n=199),42.3 [34.7-49.8] (n=189),34.6 [27.9-41.2] (n=246),879
gold 2 + 1 distractors,bm25,29.0 [22.2-35.8] (n=241),34.9 [29.0-40.6] (n=241),39.0 [31.7-46.5] (n=241),34.0 [27.2-41.0] (n=241),964
gold 2 + 1 distractors,colqwen3,25.7 [19.6-32.0] (n=241),34.0 [27.8-40.7] (n=241),38.6 [31.2-46.3] (n=241),34.4 [27.7-41.7] (n=241),964
gold 2 + 2 distractors,bm25,27.0 [20.7-33.5] (n=241),32.8 [26.2-39.2] (n=241),39.8 [32.7-46.8] (n=241),34.4 [28.2-40.9] (n=241),964
gold 2 + 2 distractors,colqwen3,25.3 [18.9-32.2] (n=241),33.6 [27.3-40.3] (n=241),35.7 [28.3-43.0] (n=241),32.4 [25.9-39.6] (n=241),964
"**oracle (gold 3, d=0)**",-,25.0 [10.2-41.5] (n=40),33.3 [18.2-50.0] (n=33),42.9 [25.9-61.5] (n=28),42.5 [24.3-57.8] (n=40),141
gold 3 + 1 distractors,bm25,22.5 [9.8-38.5] (n=40),35.0 [20.5-50.0] (n=40),50.0 [34.1-65.9] (n=40),37.5 [21.4-54.1] (n=40),160
gold 3 + 1 distractors,colqwen3,22.5 [7.9-39.0] (n=40),40.0 [23.7-56.8] (n=40),45.0 [28.2-61.0] (n=40),40.0 [25.0-54.1] (n=40),160
gold 3 + 2 distractors,bm25,17.5 [5.1-32.5] (n=40),37.5 [21.1-53.8] (n=40),52.5 [35.1-67.4] (n=40),40.0 [25.6-55.0] (n=40),160
gold 3 + 2 distractors,colqwen3,27.5 [12.8-43.9] (n=40),37.5 [22.5-53.7] (n=40),40.0 [23.7-55.8] (n=40),30.0 [16.2-44.2] (n=40),160
n (per col),-,5836,5836,5836,5836,-
