# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × rung
# dataset,longdocurl
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# prompt_mode,none
# attrition,"OOM attrition is NESTED, not random: at TLV the questions that OOM at d=5 are a strict superset of those at d=4, and so on down. A cell at high distractor count is therefore the surviving lightest questions, so compare down a column only on the matched question set, never on the raw per-cell accuracy"
# pairing,"within-question, oracle and perturbed page set both status==ok at that rung"
# reading,the four cells partition each row and sum to 100; ldu_selection_withholding is the same pairing cut by evidence source
block,transition,ranker,rung,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,T,3.0 (36),18.8 (225),43.4 (521),34.8 (418),1200
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,TL,3.8 (44),17.8 (204),44.6 (512),33.7 (387),1147
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,TLV,3.0 (33),21.0 (230),48.2 (527),27.7 (303),1093
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,V,4.1 (49),19.8 (239),42.2 (510),34.0 (411),1209
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,**All rungs**,3.5 (162),19.3 (898),44.5 (2070),32.7 (1519),4649
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,T,2.9 (35),17.6 (211),44.6 (535),34.9 (419),1200
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,TL,3.6 (41),15.3 (175),47.2 (541),34.0 (390),1147
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,TLV,3.6 (39),19.6 (214),49.7 (543),27.2 (297),1093
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,V,4.6 (56),17.7 (214),44.3 (535),33.4 (404),1209
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,**All rungs**,3.7 (171),17.5 (814),46.3 (2154),32.5 (1510),4649
sufficiency (hop=multi),oracle -> drop top 1,bm25,T,2.7 (32),36.2 (434),26.0 (312),35.2 (422),1200
sufficiency (hop=multi),oracle -> drop top 1,bm25,TL,2.4 (28),35.5 (407),26.9 (309),35.1 (403),1147
sufficiency (hop=multi),oracle -> drop top 1,bm25,TLV,2.0 (22),42.1 (460),27.2 (297),28.7 (314),1093
sufficiency (hop=multi),oracle -> drop top 1,bm25,V,3.1 (37),38.0 (460),23.9 (289),35.0 (423),1209
sufficiency (hop=multi),oracle -> drop top 1,bm25,**All rungs**,2.6 (119),37.9 (1761),26.0 (1207),33.6 (1562),4649
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,T,2.6 (31),36.5 (438),25.7 (308),35.2 (423),1200
