# swept,doc_type × rung × evidence-page bucket (1 / 2 / 3+)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# buckets,"gold evidence-page count from the corpus annotation, zero-evidence questions dropped; 3+ merges the detail table's 3 / 4-5 / 6+ tail"
doc_type,rung,1,2,3+,n
Academic paper,T,36.9 [22.5-50.6] (n=84),45.8 [29.5-61.7] (n=48),35.0 [11.8-58.8] (n=20),152
Academic paper,TL,32.1 [20.9-42.9] (n=84),43.8 [26.5-63.3] (n=48),30.0 [10.0-55.0] (n=20),152
Academic paper,TLV,38.1 [26.2-48.5] (n=84),37.5 [21.1-54.8] (n=48),50.0 [27.8-70.6] (n=20),152
Academic paper,V,29.8 [19.5-39.7] (n=84),33.3 [18.7-47.6] (n=48),35.0 [13.3-55.0] (n=20),152
Administration/Industry file,T,58.5 [38.3-80.6] (n=41),18.2 [0.0-45.5] (n=11),66.7 [25.0-100.0] (n=9),61
Administration/Industry file,TL,68.3 [57.4-81.1] (n=41),27.3 [0.0-60.0] (n=11),55.6 [20.0-88.9] (n=9),61
Administration/Industry file,TLV,85.4 [73.8-100.0] (n=41),45.5 [12.5-66.7] (n=11),55.6 [20.0-88.9] (n=9),61
Administration/Industry file,V,65.9 [56.5-77.1] (n=41),18.2 [0.0-28.6] (n=11),33.3 [9.1-66.7] (n=9),61
Brochure,T,22.4 [11.9-33.3] (n=49),47.1 [21.0-75.0] (n=17),18.2 [0.0-45.5] (n=11),77
Brochure,TL,30.6 [20.0-43.2] (n=49),35.3 [12.5-60.0] (n=17),36.4 [11.1-60.0] (n=11),77
Brochure,TLV,44.9 [30.2-60.8] (n=49),23.5 [0.0-47.1] (n=17),54.5 [22.2-81.8] (n=11),77
Brochure,V,44.9 [27.5-60.8] (n=49),47.1 [18.8-76.5] (n=17),45.5 [11.1-72.7] (n=11),77
Financial report,T,60.3 [46.3-72.9] (n=63),36.6 [25.6-46.7] (n=41),33.3 [0.0-100.0] (n=3),107
Financial report,TL,68.3 [54.9-76.5] (n=63),31.7 [19.6-48.6] (n=41),0.0 [0.0-0.0] (n=3),107
Financial report,TLV,76.2 [70.5-83.3] (n=63),26.8 [14.9-40.0] (n=41),0.0 [0.0-0.0] (n=3),107
Financial report,V,47.6 [33.9-62.3] (n=63),22.0 [13.1-33.3] (n=41),0.0 [0.0-0.0] (n=3),107
Guidebook,T,41.1 [26.0-58.3] (n=73),37.5 [17.8-57.9] (n=32),0.0 [0.0-0.0] (n=15),120
Guidebook,TL,45.2 [31.3-58.9] (n=73),34.4 [16.7-51.5] (n=32),6.7 [0.0-16.7] (n=15),120
Guidebook,TLV,58.9 [45.3-72.0] (n=73),43.8 [22.2-65.0] (n=32),33.3 [12.5-58.3] (n=15),120
Guidebook,V,54.8 [41.4-67.5] (n=73),37.5 [17.2-55.3] (n=32),33.3 [14.3-53.3] (n=15),120
Research report / Introduction,T,28.0 [17.3-39.8] (n=107),17.1 [9.1-26.7] (n=70),11.4 [0.0-25.0] (n=35),212
Research report / Introduction,TL,32.7 [21.9-43.1] (n=107),24.3 [14.3-35.3] (n=70),14.3 [3.1-27.3] (n=35),212
Research report / Introduction,TLV,67.3 [54.9-77.8] (n=107),34.3 [22.2-46.5] (n=70),17.1 [5.6-29.7] (n=35),212
Research report / Introduction,V,64.5 [53.2-73.8] (n=107),30.0 [17.2-42.5] (n=70),20.0 [5.4-36.1] (n=35),212
Tutorial/Workshop,T,22.2 [8.9-34.8] (n=63),0.0 [0.0-0.0] (n=27),0.0 [0.0-0.0] (n=19),109
Tutorial/Workshop,TL,52.4 [38.5-65.5] (n=63),40.7 [27.3-52.0] (n=27),36.8 [15.8-55.6] (n=19),109
Tutorial/Workshop,TLV,85.7 [76.9-93.9] (n=63),63.0 [43.5-79.2] (n=27),57.9 [33.3-78.9] (n=19),109
Tutorial/Workshop,V,81.0 [71.9-89.5] (n=63),63.0 [43.5-79.2] (n=27),42.1 [21.1-62.5] (n=19),109
**All**,T,37.1 [31.1-43.1] (n=480),28.9 [22.5-35.2] (n=246),17.9 [10.2-26.6] (n=112),838
**All**,TL,44.6 [38.9-50.1] (n=480),33.3 [27.4-39.7] (n=246),25.0 [17.0-33.3] (n=112),838
**All**,TLV,63.7 [58.2-69.3] (n=480),37.8 [30.7-44.5] (n=246),38.4 [28.4-46.9] (n=112),838
**All**,V,55.0 [49.7-60.2] (n=480),34.6 [27.9-41.2] (n=246),31.2 [22.2-40.0] (n=112),838
n (per col),-,1920,984,448,-
