# swept,"error category × rung (answerable pool, oracle pages, prompt = none)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# judge,"results.errcat.jsonl — judge label gemini-flash-errcat, the error-taxonomy prompt. Same model and same correctness rubric as the main report's judge, but 1.8-3.0 points stricter in practice; levels are not interchangeable with the main report's"
# unit,"shares are of the questions in a column's pool, not of its wrong answers, so a column sums to its All incorrect row; categories are first-match-wins over config.ERROR_CATEGORIES"
error_category,T,TL,TLV,V
insufficient_evidence,26.0,16.8,6.1,7.0
no_answer_reached,6.0,6.0,6.8,6.1
equivocal,0.5,0.2,1.1,1.4
wrong_count,16.2,16.1,14.4,15.6
wrong_value,9.4,9.5,9.0,10.9
wrong_entity,7.3,10.7,7.7,10.2
incomplete_list,2.9,1.8,1.8,2.4
over_inclusive_list,1.7,1.9,2.2,2.4
unit_or_format_mismatch,0.8,1.1,1.3,1.1
other,0.2,0.2,0.1,0.2
All incorrect,71.0,64.3,50.5,57.4
n (per col),834,833,833,833
