# swept,"error category × evidence page count (answerable pool, oracle pages, TLV)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# judge,"results.errcat.jsonl — judge label gemini-flash-errcat, the error-taxonomy prompt. Same model and same correctness rubric as the main report's judge, but 1.8-3.0 points stricter in practice; levels are not interchangeable with the main report's"
# unit,"shares are of the questions in a column's pool, not of its wrong answers, so a column sums to its All incorrect row; categories are first-match-wins over config.ERROR_CATEGORIES"
# hop,"single/multi only, hop=none dropped"
error_category,1 page,2 pages,3+ pages,Multi
insufficient_evidence,6.3,5.9,1.8,4.6
no_answer_reached,2.5,15.1,8.1,12.9
equivocal,0.6,2.1,0.9,1.7
wrong_count,10.1,10.9,39.6,20.0
wrong_value,7.4,14.6,4.5,11.4
wrong_entity,7.8,9.6,3.6,7.7
incomplete_list,1.7,1.7,2.7,2.0
over_inclusive_list,2.5,1.7,1.8,1.7
unit_or_format_mismatch,1.5,1.3,0.9,1.1
other,0.2,0.0,0.0,0.0
All incorrect,40.5,62.8,64.0,63.1
n (per col),476,239,111,350
