# swept,paired difference per asserted comparison (bootstrap CI on the delta)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# unit,"documents resampled with replacement, 1000 resamples, seed 0, 2.5%/97.5% quantiles — same convention as the marginal CIs"
# pairing,"per question; a question enters only if scored on both sides, so n is the intersection pool"
# sides,each comparison names its own run_tags and specs; the builder loads them rather than slicing one pooled read
comparison,rung(s),Δ (points),CI low,CI high,n (paired),excludes 0,note
integration deficit (M-S): TL vs T,TL - T,-1.6,-7.6,+5.3,838,no,"9 hop=none dropped by design (no integration reading), same rule as the integration tables"
integration deficit (M-S): TV vs T,TV - T,-11.4,-18.3,-4.8,838,yes,"9 hop=none dropped by design (no integration reading), same rule as the integration tables"
integration deficit (M-S): TLV vs T,TLV - T,-12.8,-20.5,-4.6,838,yes,"9 hop=none dropped by design (no integration reading), same rule as the integration tables"
integration deficit (M-S): V vs T,V - T,-9.5,-18.1,-1.6,838,yes,"9 hop=none dropped by design (no integration reading), same rule as the integration tables"
representation margin: TLV vs T,TLV - T,+20.7,+15.4,+26.2,847,yes,-
parser-free lateral: TLV vs TV,TLV - TV,+0.9,-1.3,+3.3,847,no,-
scale: 32B vs 8B at V,V,+11.2,+8.3,+14.2,847,yes,-
scale: 32B vs 8B at T,T,+3.7,+1.5,+5.7,847,yes,-
family: Qwen3-VL-8B vs InternVL3-8B at TLV,TLV,+21.1,+17.0,+24.9,807,yes,"left (internvl3-8b-local): 40 OOM/error (survivorship: OOM tracks page count, so it removes long multi-page questions first)"
integration deficit (M-S): Thinking vs base 8B at TLV,TLV,not computable,-,-,0,-,"NOT COMPUTABLE: right side has no judged rows; the run has not landed, so no value is reported"
