# swept,gold evidence-page count (single vs multi) x answer format x rung
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# hop,"single/multi only, hop=none dropped"
# gap,"M − S = multi-page minus single-page accuracy, in points (negative = multi-page is worse)"
answer_format,rung,single,multi,M − S,n
String,T,74.1 [68.0-79.9],79.8 [75.7-83.7],+5.7,932
String,TL,81.2 [77.1-84.9],81.6 [77.6-85.5],+0.4,920
String,TV,74.8 [68.7-80.4],82.7 [79.1-86.2],+7.9,923
String,TLV,78.2 [72.9-83.0],84.6 [81.0-88.1],+6.4,904
String,V,72.1 [66.7-77.6],79.1 [75.5-82.8],+7.0,934
List,T,48.2 [40.4-56.3],39.9 [35.0-45.5],-8.4,748
List,TL,58.1 [51.3-64.8],40.1 [34.9-45.9],-18.0,722
List,TV,60.2 [53.6-66.9],45.5 [40.6-50.5],-14.7,740
List,TLV,58.9 [52.0-66.2],50.2 [44.1-55.9],-8.6,701
List,V,51.5 [44.3-58.4],42.1 [36.9-48.1],-9.3,753
Integer,T,66.4 [58.7-74.0],65.2 [58.6-72.1],-1.2,427
Integer,TL,76.5 [70.3-81.9],63.0 [55.5-70.4],-13.5,402
Integer,TV,79.6 [75.0-84.3],70.6 [63.8-77.0],-9.0,420
Integer,TLV,82.3 [76.5-87.4],71.4 [63.9-78.3],-10.8,388
Integer,V,64.6 [57.3-72.5],64.7 [57.7-71.2],+0.1,427
Float,T,77.7 [66.9-86.7],67.7 [55.4-79.6],-9.9,183
Float,TL,83.1 [76.2-89.2],60.3 [45.3-72.6],-22.7,176
Float,TV,81.8 [74.2-88.7],78.7 [68.3-87.7],-3.1,182
Float,TLV,87.3 [80.8-92.6],69.2 [58.0-80.5],-18.1,170
Float,V,70.2 [59.1-78.8],57.8 [46.4-67.9],-12.4,185
None,T,-,100.0 [100.0-100.0],-,3
None,TL,-,100.0 [100.0-100.0],-,3
None,TV,-,100.0 [100.0-100.0],-,3
None,TLV,-,100.0 [100.0-100.0],-,3
None,V,-,66.7 [33.3-100.0],-,3
n (per col),-,5428,5824,-,-
