# swept,"error category × prompt mode (answerable pool, oracle pages, TLV)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# judge,"results.errcat.jsonl — judge label gemini-flash-errcat, the error-taxonomy prompt. Same model and same correctness rubric as the main report's judge, but 1.8-3.0 points stricter in practice; levels are not interchangeable with the main report's"
# unit,"shares are of the questions in a column's pool, not of its wrong answers, so a column sums to its All incorrect row; categories are first-match-wins over config.ERROR_CATEGORIES"
# denominator,"differs by mode — a prompt that lowers accuracy has more incorrect rows to distribute, so read beside the accuracy table"
error_category,none,grounded,abstain,abstain_balanced,cot,extract_cot
insufficient_evidence,6.1,6.0,27.6,23.0,6.6,8.8
no_answer_reached,6.8,0.0,0.0,0.0,4.4,3.3
equivocal,1.1,0.1,0.0,0.0,0.0,0.1
wrong_count,14.4,18.8,10.9,11.8,14.8,12.7
wrong_value,9.0,14.6,8.8,10.8,8.5,10.1
wrong_entity,7.7,9.6,7.1,7.3,7.1,8.7
incomplete_list,1.8,2.6,1.9,2.0,2.9,2.2
over_inclusive_list,2.2,2.8,2.0,2.5,2.9,3.4
unit_or_format_mismatch,1.3,1.6,1.4,1.3,2.3,2.3
other,0.1,0.1,0.1,0.1,0.4,0.8
All incorrect,50.5,56.3,60.0,59.1,49.8,52.5
n (per col),833,833,833,833,833,828
