# swept,spec / rung / resolution (peak VRAM)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# note,pooled across all G1 runs
model_spec,rung,resolution,peak_vram_mb_max,peak_vram_mb_p95,headroom_mb,n
internvl3-8b-local,T,med,12848,9454,3536,831
internvl3-8b-local,TL,med,13170,10671,3214,762
internvl3-8b-local,TLV,med,13303,11167,3081,742
internvl3-8b-local,V,med,11994,7927,4390,845
qwen3vl-2b-local,T,med,11610,3647,4774,843
qwen3vl-2b-local,TL,med,14264,6591,2120,833
qwen3vl-2b-local,TLV,med,14192,8528,2192,821
qwen3vl-2b-local,V,med,10111,3249,6273,845
qwen3vl-4b-local,T,med,15058,7116,1326,839
qwen3vl-4b-local,TL,med,14880,10400,1504,800
qwen3vl-4b-local,TLV,med,14897,11178,1487,761
qwen3vl-4b-local,V,med,15021,6489,1363,842
qwen3vl-8b-local,T,med,13862,10225,2522,831
qwen3vl-8b-local,TL,med,14240,11477,2144,761
qwen3vl-8b-local,TLV,high,14033,12429,2351,681
qwen3vl-8b-local,TLV,low,13974,11904,2410,732
qwen3vl-8b-local,TLV,med,14143,12134,2241,1436
qwen3vl-8b-local,V,high,12824,9839,3560,810
qwen3vl-8b-local,V,low,13321,8769,3063,844
qwen3vl-8b-local,V,med,14115,9315,2269,1668
qwen3vl-8b-local-4bit,T,med,12637,4764,3747,839
qwen3vl-8b-local-4bit,TL,med,12276,8015,4108,800
qwen3vl-8b-local-4bit,TLV,med,12809,8857,3575,762
qwen3vl-8b-local-4bit,V,med,13555,4179,2829,843
qwen3vl-8b-local-8bit,T,med,12963,6380,3421,837
qwen3vl-8b-local-8bit,TL,med,13201,8377,3183,786
qwen3vl-8b-local-8bit,TLV,med,12731,9209,3653,743
qwen3vl-8b-local-8bit,V,med,11341,5264,5043,839
n (per col),-,-,-,-,-,-
