# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
none,Chart,18.5 [12.3-24.6] (n=178),19.1 [13.1-25.5] (n=178),45.5 [37.3-54.3] (n=178),43.3 [34.4-52.4] (n=178)
none,Figure,15.5 [11.1-20.5] (n=290),23.8 [17.8-30.5] (n=290),44.8 [38.0-51.7] (n=290),40.3 [34.2-46.4] (n=290)
none,Generalized-text (Layout),28.0 [18.1-37.6] (n=118),37.3 [27.3-47.4] (n=118),50.8 [42.3-59.2] (n=118),44.1 [35.7-52.8] (n=118)
none,Pure-text (Plain-text),39.2 [31.5-47.6] (n=291),47.8 [41.1-55.3] (n=291),55.3 [48.8-62.8] (n=291),44.3 [37.7-51.3] (n=291)
none,Table,40.6 [33.8-46.4] (n=217),48.4 [40.3-55.2] (n=217),48.4 [41.4-55.4] (n=217),37.8 [31.0-44.3] (n=217)
none,(none),52.6 [31.2-73.7] (n=19)†,63.2 [38.9-83.3] (n=19)†,73.7 [52.6-91.3] (n=19)†,52.6 [29.4-70.8] (n=19)†
none,**All sources**,31.9 [27.3-36.5] (n=847),38.8 [34.5-43.0] (n=847),52.5 [48.5-56.5] (n=847),45.6 [41.7-49.5] (n=847)
grounded,Chart,16.3 [10.1-22.7] (n=178),16.3 [11.1-22.5] (n=178),33.7 [26.8-41.0] (n=178),31.5 [24.6-38.8] (n=178)
grounded,Figure,12.1 [8.0-17.2] (n=290),22.4 [16.8-28.1] (n=290),42.4 [35.9-48.9] (n=290),39.3 [33.0-45.4] (n=290)
grounded,Generalized-text (Layout),18.6 [10.8-27.4] (n=118),29.7 [20.7-38.3] (n=118),42.4 [32.8-52.2] (n=118),44.9 [34.7-55.2] (n=118)
grounded,Pure-text (Plain-text),37.8 [30.7-45.7] (n=291),45.0 [38.4-52.0] (n=291),51.2 [43.8-58.5] (n=291),41.6 [35.6-48.7] (n=291)
grounded,Table,29.5 [23.3-35.5] (n=217),39.2 [31.9-46.2] (n=217),40.1 [33.3-47.3] (n=217),30.9 [24.5-36.6] (n=217)
grounded,(none),42.1 [22.2-66.7] (n=19)†,57.9 [33.3-81.8] (n=19)†,52.6 [29.4-75.0] (n=19)†,42.1 [19.0-62.5] (n=19)†
grounded,**All sources**,26.8 [22.8-30.9] (n=847),34.4 [30.5-38.3] (n=847),45.7 [41.7-49.4] (n=847),39.9 [36.3-43.8] (n=847)
abstain,Chart,13.5 [7.5-19.7] (n=178),12.4 [7.0-18.3] (n=178),28.7 [22.8-35.4] (n=178),26.4 [19.9-32.4] (n=178)
abstain,Figure,7.2 [4.1-10.9] (n=290),14.1 [10.0-18.2] (n=290),34.5 [27.9-40.9] (n=290),31.0 [24.8-36.7] (n=290)
abstain,Generalized-text (Layout),19.5 [11.3-28.2] (n=118),25.4 [17.4-33.3] (n=118),41.5 [32.1-50.9] (n=118),37.3 [28.0-47.0] (n=118)
abstain,Pure-text (Plain-text),34.0 [27.4-41.7] (n=291),40.5 [34.8-47.2] (n=291),45.7 [39.1-53.1] (n=291),36.1 [29.6-43.7] (n=291)
abstain,Table,26.3 [20.4-32.5] (n=217),38.2 [31.2-45.5] (n=217),39.2 [32.2-46.2] (n=217),26.7 [20.7-32.8] (n=217)
