# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# direction,abstaining is an ERROR here; lower is better
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
none,Chart,12.9 (n=178),8.4 (n=178),2.8 (n=178),1.1 (n=178)
none,Figure,10.7 (n=290),2.8 (n=290),2.8 (n=290),1.4 (n=290)
none,Generalized-text (Layout),2.5 (n=118),4.2 (n=118),0.0 (n=118),0.8 (n=118)
none,Pure-text (Plain-text),4.5 (n=291),1.7 (n=291),1.7 (n=291),0.3 (n=291)
none,Table,6.0 (n=217),1.4 (n=217),2.3 (n=217),1.8 (n=217)
none,(none),5.3 (n=19)†,5.3 (n=19)†,0.0 (n=19)†,5.3 (n=19)†
none,**All sources**,7.4 (n=847),3.3 (n=847),1.7 (n=847),1.1 (n=847)
grounded,Chart,16.9 (n=178),2.8 (n=178),1.1 (n=178),0.6 (n=178)
grounded,Figure,10.3 (n=290),0.3 (n=290),0.7 (n=290),1.0 (n=290)
grounded,Generalized-text (Layout),7.6 (n=118),0.8 (n=118),0.0 (n=118),0.0 (n=118)
grounded,Pure-text (Plain-text),6.5 (n=291),0.7 (n=291),1.0 (n=291),0.7 (n=291)
grounded,Table,10.1 (n=217),1.4 (n=217),0.9 (n=217),0.0 (n=217)
grounded,(none),0.0 (n=19)†,0.0 (n=19)†,0.0 (n=19)†,0.0 (n=19)†
grounded,**All sources**,9.6 (n=847),1.3 (n=847),0.8 (n=847),0.6 (n=847)
abstain,Chart,52.2 (n=178),59.0 (n=178),25.3 (n=178),27.5 (n=178)
abstain,Figure,76.2 (n=290),65.2 (n=290),35.2 (n=290),38.3 (n=290)
abstain,Generalized-text (Layout),55.9 (n=118),44.1 (n=118),19.5 (n=118),25.4 (n=118)
abstain,Pure-text (Plain-text),41.9 (n=291),35.4 (n=291),23.7 (n=291),30.9 (n=291)
abstain,Table,42.4 (n=217),36.4 (n=217),30.0 (n=217),39.6 (n=217)
abstain,(none),36.8 (n=19)†,31.6 (n=19)†,26.3 (n=19)†,36.8 (n=19)†
abstain,**All sources**,52.2 (n=847),47.1 (n=847),27.4 (n=847),32.5 (n=847)
abstain_balanced,Chart,44.9 (n=178),51.7 (n=178),18.5 (n=178),24.2 (n=178)
abstain_balanced,Figure,71.7 (n=290),62.1 (n=290),31.0 (n=290),33.1 (n=290)
abstain_balanced,Generalized-text (Layout),52.5 (n=118),41.5 (n=118),18.6 (n=118),21.2 (n=118)
abstain_balanced,Pure-text (Plain-text),39.5 (n=291),32.6 (n=291),18.9 (n=291),25.4 (n=291)
abstain_balanced,Table,37.8 (n=217),30.0 (n=217),25.3 (n=217),34.6 (n=217)
abstain_balanced,(none),26.3 (n=19)†,31.6 (n=19)†,21.1 (n=19)†,31.6 (n=19)†
abstain_balanced,**All sources**,47.8 (n=847),42.9 (n=847),22.9 (n=847),27.7 (n=847)
cot,Chart,3.9 (n=178),13.5 (n=178),1.1 (n=178),1.1 (n=178)
cot,Figure,1.7 (n=290),2.4 (n=290),0.3 (n=290),0.0 (n=290)
cot,Generalized-text (Layout),0.0 (n=118),3.4 (n=118),0.8 (n=118),0.0 (n=118)
cot,Pure-text (Plain-text),4.1 (n=291),3.1 (n=291),1.0 (n=291),0.7 (n=291)
cot,Table,3.2 (n=217),2.8 (n=217),2.3 (n=217),0.0 (n=217)
cot,(none),10.5 (n=19)†,5.3 (n=19)†,5.3 (n=19)†,0.0 (n=19)†
cot,**All sources**,2.8 (n=847),4.3 (n=847),1.1 (n=847),0.4 (n=847)
extract_cot,Chart,5.6 (n=178),14.0 (n=178),2.2 (n=178),2.2 (n=178)
extract_cot,Figure,2.1 (n=290),4.1 (n=290),1.0 (n=290),1.4 (n=290)
extract_cot,Generalized-text (Layout),1.7 (n=118),3.4 (n=118),0.8 (n=118),1.7 (n=118)
extract_cot,Pure-text (Plain-text),1.4 (n=291),3.4 (n=291),2.4 (n=290),3.1 (n=291)
extract_cot,Table,1.8 (n=217),4.1 (n=217),4.6 (n=217),5.1 (n=217)
extract_cot,(none),5.3 (n=19)†,5.3 (n=19)†,10.5 (n=19)†,5.3 (n=19)†
extract_cot,**All sources**,2.5 (n=847),5.7 (n=847),2.1 (n=846),2.4 (n=847)
n (per col),-,-,-,-,-
