# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × rung
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"oracle cells loaded from g1-representation-full by the builder and paired per (question, rung)"
# pairing,"within-question, oracle and perturbed page set both status==ok at that rung"
# deep distractor counts,"the +4/+5/+6 columns come from g5c (TLV, colqwen3 only) and lose cells to OOM: paired n falls 474 -> 313 -> 256 -> 196 at gold 1. Attrition is nested, so a high-k cell is the surviving LIGHTEST questions and the slope across columns reads easier than it is. Compare down a column, not across one; the matched-set slope is selection_distractor_matched"
block,transition,ranker,rung,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,T,1.7 (6),17.3 (61),8.5 (30),72.4 (255),352
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,TL,2.6 (9),22.4 (79),8.8 (31),66.2 (233),352
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,TLV,4.3 (15),27.0 (95),11.6 (41),57.1 (201),352
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,V,2.3 (8),23.0 (81),11.1 (39),63.6 (224),352
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,**All rungs**,2.7 (38),22.4 (316),10.0 (141),64.8 (913),1408
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,T,2.8 (10),17.3 (61),8.5 (30),71.3 (251),352
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,TL,2.8 (10),20.7 (73),10.5 (37),65.9 (232),352
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,TLV,4.5 (16),24.7 (87),13.9 (49),56.8 (200),352
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,V,2.6 (9),21.6 (76),12.5 (44),63.4 (223),352
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,**All rungs**,3.2 (45),21.1 (297),11.4 (160),64.3 (906),1408
sufficiency (hop=multi),oracle -> drop top 1,bm25,T,2.3 (8),16.2 (57),9.7 (34),71.9 (253),352
sufficiency (hop=multi),oracle -> drop top 1,bm25,TL,2.8 (10),20.5 (72),10.8 (38),65.9 (232),352
sufficiency (hop=multi),oracle -> drop top 1,bm25,TLV,3.1 (11),25.9 (91),12.8 (45),58.2 (205),352
sufficiency (hop=multi),oracle -> drop top 1,bm25,V,3.4 (12),23.3 (82),10.8 (38),62.5 (220),352
sufficiency (hop=multi),oracle -> drop top 1,bm25,**All rungs**,2.9 (41),21.4 (302),11.0 (155),64.6 (910),1408
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,T,1.4 (5),16.5 (58),9.4 (33),72.7 (256),352
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,TL,1.7 (6),21.9 (77),9.4 (33),67.0 (236),352
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,TLV,4.3 (15),27.0 (95),11.6 (41),57.1 (201),352
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,V,3.7 (13),23.9 (84),10.2 (36),62.2 (219),352
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,**All rungs**,2.8 (39),22.3 (314),10.2 (143),64.8 (912),1408
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,T,2.3 (8),19.0 (67),6.8 (24),71.9 (253),352
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,TL,1.7 (6),23.0 (81),8.2 (29),67.0 (236),352
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,TLV,1.7 (6),29.3 (103),9.4 (33),59.7 (210),352
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,V,2.8 (10),26.4 (93),7.7 (27),63.1 (222),352
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,**All rungs**,2.1 (30),24.4 (344),8.0 (113),65.4 (921),1408
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,T,1.1 (4),17.6 (62),8.2 (29),73.0 (257),352
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,TL,2.0 (7),23.6 (83),7.7 (27),66.8 (235),352
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,TLV,2.3 (8),30.4 (107),8.2 (29),59.1 (208),352
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,V,3.7 (13),27.8 (98),6.2 (22),62.2 (219),352
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,**All rungs**,2.3 (32),24.9 (350),7.6 (107),65.3 (919),1408
sufficiency (hop=multi),oracle -> keep top 1,bm25,T,1.4 (5),18.2 (64),7.7 (27),72.7 (256),352
sufficiency (hop=multi),oracle -> keep top 1,bm25,TL,1.7 (6),24.4 (86),6.8 (24),67.0 (236),352
sufficiency (hop=multi),oracle -> keep top 1,bm25,TLV,3.4 (12),29.8 (105),8.8 (31),58.0 (204),352
sufficiency (hop=multi),oracle -> keep top 1,bm25,V,1.4 (5),26.1 (92),8.0 (28),64.5 (227),352
sufficiency (hop=multi),oracle -> keep top 1,bm25,**All rungs**,2.0 (28),24.6 (347),7.8 (110),65.6 (923),1408
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,T,2.3 (8),19.0 (67),6.8 (24),71.9 (253),352
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,TL,2.3 (8),23.3 (82),8.0 (28),66.5 (234),352
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,TLV,2.6 (9),28.4 (100),10.2 (36),58.8 (207),352
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,V,2.0 (7),25.0 (88),9.1 (32),63.9 (225),352
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,**All rungs**,2.3 (32),23.9 (337),8.5 (120),65.3 (919),1408
robustness (gold 1),oracle -> +1 distractor,bm25,T,5.3 (25),3.2 (15),34.4 (163),57.2 (271),474
robustness (gold 1),oracle -> +1 distractor,bm25,TL,5.1 (24),3.4 (16),41.8 (198),49.8 (236),474
robustness (gold 1),oracle -> +1 distractor,bm25,TLV,5.9 (28),5.9 (28),58.6 (278),29.5 (140),474
robustness (gold 1),oracle -> +1 distractor,bm25,V,8.9 (42),7.2 (34),48.5 (230),35.4 (168),474
robustness (gold 1),oracle -> +1 distractor,bm25,**All rungs**,6.3 (119),4.9 (93),45.8 (869),43.0 (815),1896
robustness (gold 1),oracle -> +1 distractor,colqwen3,T,6.1 (29),4.2 (20),33.3 (158),56.3 (267),474
robustness (gold 1),oracle -> +1 distractor,colqwen3,TL,8.4 (40),4.6 (22),40.5 (192),46.4 (220),474
robustness (gold 1),oracle -> +1 distractor,colqwen3,TLV,7.0 (33),7.8 (37),56.8 (269),28.5 (135),474
