# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × evidence source
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"oracle cells loaded from g1-representation-full by the builder and paired per (question, rung)"
# pairing,"within-question, oracle and perturbed page set both status==ok; pooled over the four rungs"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# reading,"does a dropped gold page or an added distractor cost text-carried and graphical evidence alike, or land on one of them"
block,transition,ranker,evidence_source,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n,questions
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,(none)†,5.0 (1),5.0 (1),15.0 (3),75.0 (15),20,5
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,Chart,1.6 (5),15.4 (48),8.0 (25),75.0 (234),312,78
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,Figure,3.5 (16),20.0 (91),7.0 (32),69.5 (317),456,114
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,Generalized-text (Layout),4.2 (10),22.9 (55),9.6 (23),63.3 (152),240,60
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,Pure-text (Plain-text),2.3 (12),23.7 (124),13.7 (72),60.3 (316),524,131
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,Table,2.3 (10),22.2 (96),10.0 (43),65.5 (283),432,108
sufficiency (hop=multi),oracle -> drop bottom 1,bm25,**All sources**,2.7 (38),22.4 (316),10.0 (141),64.8 (913),1408,352
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,(none)†,0.0 (0),0.0 (0),20.0 (4),80.0 (16),20,5
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,Chart,2.6 (8),14.7 (46),8.7 (27),74.0 (231),312,78
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,Figure,3.5 (16),16.9 (77),10.1 (46),69.5 (317),456,114
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,Generalized-text (Layout),2.9 (7),21.2 (51),11.2 (27),64.6 (155),240,60
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,Pure-text (Plain-text),3.2 (17),23.7 (124),13.7 (72),59.4 (311),524,131
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,Table,4.2 (18),23.1 (100),9.0 (39),63.7 (275),432,108
sufficiency (hop=multi),oracle -> drop bottom 1,colqwen3,**All sources**,3.2 (45),21.1 (297),11.4 (160),64.3 (906),1408,352
sufficiency (hop=multi),oracle -> drop top 1,bm25,(none)†,0.0 (0),0.0 (0),20.0 (4),80.0 (16),20,5
sufficiency (hop=multi),oracle -> drop top 1,bm25,Chart,2.9 (9),14.7 (46),8.7 (27),73.7 (230),312,78
sufficiency (hop=multi),oracle -> drop top 1,bm25,Figure,3.1 (14),17.3 (79),9.6 (44),70.0 (319),456,114
sufficiency (hop=multi),oracle -> drop top 1,bm25,Generalized-text (Layout),4.2 (10),22.9 (55),9.6 (23),63.3 (152),240,60
sufficiency (hop=multi),oracle -> drop top 1,bm25,Pure-text (Plain-text),3.2 (17),22.1 (116),15.3 (80),59.4 (311),524,131
sufficiency (hop=multi),oracle -> drop top 1,bm25,Table,3.7 (16),24.8 (107),7.4 (32),64.1 (277),432,108
sufficiency (hop=multi),oracle -> drop top 1,bm25,**All sources**,2.9 (41),21.4 (302),11.0 (155),64.6 (910),1408,352
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,(none)†,5.0 (1),0.0 (0),20.0 (4),75.0 (15),20,5
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,Chart,1.9 (6),15.4 (48),8.0 (25),74.7 (233),312,78
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,Figure,3.5 (16),20.6 (94),6.4 (29),69.5 (317),456,114
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,Generalized-text (Layout),5.8 (14),24.2 (58),8.3 (20),61.7 (148),240,60
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,Pure-text (Plain-text),2.3 (12),21.9 (115),15.5 (81),60.3 (316),524,131
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,Table,2.5 (11),23.6 (102),8.6 (37),65.3 (282),432,108
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,**All sources**,2.8 (39),22.3 (314),10.2 (143),64.8 (912),1408,352
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,(none)†,0.0 (0),20.0 (4),0.0 (0),80.0 (16),20,5
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,Chart,1.9 (6),16.0 (50),7.4 (23),74.7 (233),312,78
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,Figure,1.8 (8),20.2 (92),6.8 (31),71.3 (325),456,114
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,Generalized-text (Layout),2.9 (7),25.8 (62),6.7 (16),64.6 (155),240,60
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,Pure-text (Plain-text),1.7 (9),26.7 (140),10.7 (56),60.9 (319),524,131
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,Table,3.9 (17),25.7 (111),6.5 (28),63.9 (276),432,108
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,**All sources**,2.1 (30),24.4 (344),8.0 (113),65.4 (921),1408,352
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,(none)†,5.0 (1),20.0 (4),0.0 (0),75.0 (15),20,5
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,Chart,1.3 (4),17.3 (54),6.1 (19),75.3 (235),312,78
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,Figure,3.3 (15),23.0 (105),3.9 (18),69.7 (318),456,114
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,Generalized-text (Layout),4.2 (10),26.7 (64),5.8 (14),63.3 (152),240,60
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,Pure-text (Plain-text),1.3 (7),25.6 (134),11.8 (62),61.3 (321),524,131
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,Table,2.3 (10),24.1 (104),8.1 (35),65.5 (283),432,108
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,**All sources**,2.3 (32),24.9 (350),7.6 (107),65.3 (919),1408,352
sufficiency (hop=multi),oracle -> keep top 1,bm25,(none)†,0.0 (0),20.0 (4),0.0 (0),80.0 (16),20,5
sufficiency (hop=multi),oracle -> keep top 1,bm25,Chart,0.6 (2),17.0 (53),6.4 (20),76.0 (237),312,78
sufficiency (hop=multi),oracle -> keep top 1,bm25,Figure,2.9 (13),22.4 (102),4.6 (21),70.2 (320),456,114
