# swept,worked example × the cells the appendix prints it under
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"one hand-picked question per row, not an aggregate; this table exists so the appendix's quoted verdicts are reproducible, not to be read as a result"
# page_selection,oracle
# prompt_mode,none
# sources,"each roster cell names its own run_tag; the builder loads them, so the plan's own load is unused"
# staleness,a blank verdict means the cell no longer resolves and the appendix text is out of date
# retrieval depth rows,PROVISIONAL (partial G2 pool)
example,mechanism,question_id,question,gold,evidence_sources,gold_pages,cell,run_tag,condition,prompt_mode,rung,model_spec,verdict,pages_fed,answer
R1,modality ceiling,mmlongbench:000085,What are the colors of the icons that the users touch to move the app up and remove the app respectively?,"['gray', 'red']","Pure-text (Plain-text),Figure",15,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,wrong,15,"The document does not specify the colors of the icons used to move the app up or remove the app. The text only mentions that users should “touch” certain icons (represented by placeholder symbols like “●” or “NO TE”) on the Favorites screen, but no visual descriptions or color information are provided. Therefore, based on the given document evidence, **the colors of the icons cannot be determined**."
R1,modality ceiling,mmlongbench:000085,What are the colors of the icons that the users touch to move the app up and remove the app respectively?,"['gray', 'red']","Pure-text (Plain-text),Figure",15,TL,g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,15,"The document does not specify the colors of the icons used to move the app up or remove the app. While it describes the actions users should take (“touch to move the app up” and “touch to remove the app”), it does not mention any visual details such as icon colors. Therefore, based on the provided text, the colors of these icons cannot be determined. **Answer: Not specified in the document.**"
R1,modality ceiling,mmlongbench:000085,What are the colors of the icons that the users touch to move the app up and remove the app respectively?,"['gray', 'red']","Pure-text (Plain-text),Figure",15,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,right,15,"Based on the provided document evidence, the colors of the icons are: * **To move the app up:** The icon is **gray**. * **To remove the app:** The icon is **red**. This information is found in the ""NOTE"" section under ""1.13 Finding your phone using your watch,"" which states: ""On the Favorites screen, touch [gray icon] to move the app up to the top of the list. On the Favorites screen, touch [red icon] to remove the app from the list."""
R1,modality ceiling,mmlongbench:000085,What are the colors of the icons that the users touch to move the app up and remove the app respectively?,"['gray', 'red']","Pure-text (Plain-text),Figure",15,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,15,"Based on the document evidence provided, the colors of the icons that users touch to move the app up and remove the app respectively are: - **To move the app up**: The icon is **gray** (a gray upward arrow). - **To remove the app**: The icon is **red** (a red circle with a line through it, resembling a ""remove"" or ""delete"" symbol). These icons are shown in the document under the ""NOTE"" section describing actions on the Favorites screen."
R2,modality ceiling,mmlongbench:000204,"According to this guideline, what is on the left side of the MacBook Air's camera?",Ambient light sensor,Figure,25,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,wrong,25,"According to the document, on the left side of the MacBook Air's camera is the **Camera indicator light**. The document lists the components in this order: **Camera indicator light** **iSight camera** This implies that the camera indicator light is positioned to the left of the iSight camera."
R2,modality ceiling,mmlongbench:000204,"According to this guideline, what is on the left side of the MacBook Air's camera?",Ambient light sensor,Figure,25,TL,g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,25,"According to the document, the image of the MacBook Air is centered, and while the text does not explicitly describe the contents of the image, the visual context typically associated with MacBook Air camera placement (and corroborated by standard MacBook Air design) indicates that the camera is located at the top center of the display, above the screen. Therefore, **on the left side of the MacBook Air's camera**, there is typically **the display bezel or the top edge of the screen**, depending on the exact model and orientation. However, since the document does not provide explicit textual de..."
R2,modality ceiling,mmlongbench:000204,"According to this guideline, what is on the left side of the MacBook Air's camera?",Ambient light sensor,Figure,25,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,right,25,"According to the diagram in the document, the **ambient light sensor** is located on the left side of the MacBook Air's camera. The diagram shows the iSight camera positioned at the top center of the screen, and the ambient light sensor is labeled as being directly to its left."
R2,modality ceiling,mmlongbench:000204,"According to this guideline, what is on the left side of the MacBook Air's camera?",Ambient light sensor,Figure,25,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,25,"According to the diagram in the document, the **ambient light sensor** is located on the left side of the MacBook Air's camera. The diagram shows the iSight camera positioned at the top of the display, and the ambient light sensor is labeled as being directly to its left."
R5,modality ceiling,mmlongbench:000014,According to the chart on page 14 how much time was spent with family and friends in 2010?,21%,Chart,13,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,abstain,13,"The document does not provide any evidence or chart on page 14, so it is not possible to determine how much time was spent with family and friends in 2010 based on the given information. Answer: Not enough information is provided in the document to answer the question."
R5,modality ceiling,mmlongbench:000014,According to the chart on page 14 how much time was spent with family and friends in 2010?,21%,Chart,13,TL,g1-representation-full,oracle,none,TL,qwen3vl-8b-local,abstain,13,"The document does not provide sufficient textual or numerical information to determine how much time was spent with family and friends in 2010. The image referenced (on page 14) is not described or transcribed, so its content cannot be interpreted. Without visible or described data from the chart, an accurate answer cannot be provided. Answer: Not enough information in the document to determine the time spent with family and friends in 2010."
R5,modality ceiling,mmlongbench:000014,According to the chart on page 14 how much time was spent with family and friends in 2010?,21%,Chart,13,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,right,13,"According to the chart on page 14, in 2010, 21% of weekend time was spent with family and friends."
R5,modality ceiling,mmlongbench:000014,According to the chart on page 14 how much time was spent with family and friends in 2010?,21%,Chart,13,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,13,"According to the chart on page 14, in 2010, 21% of weekend time was spent with family and friends."
R3,conversion fidelity,mmlongbench:000158,What is the name of the company that created this presentation?,AVALAUNCH MEDIA,Generalized-text (Layout),0,T (raw),g1-representation-full,oracle,none,T,qwen3vl-8b-local,wrong,0,"The document does not provide any evidence or information about the company that created the presentation. Therefore, it is not possible to determine the name of the company from the given evidence."
R3,conversion fidelity,mmlongbench:000158,What is the name of the company that created this presentation?,AVALAUNCH MEDIA,Generalized-text (Layout),0,TL (Paddle),g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,0,The name of the company that created this presentation is **Asterks**.
R3,conversion fidelity,mmlongbench:000158,What is the name of the company that created this presentation?,AVALAUNCH MEDIA,Generalized-text (Layout),0,TL (MinerU),g1-parser-full-mineru,oracle,none,TL,qwen3vl-8b-local,wrong,0,"The document does not provide any evidence or information about the company that created the presentation. Therefore, it is not possible to determine the name of the company from the given evidence."
R3,conversion fidelity,mmlongbench:000158,What is the name of the company that created this presentation?,AVALAUNCH MEDIA,Generalized-text (Layout),0,TL (unlimited),g1-parser-full-unlimited,oracle,none,TL,qwen3vl-8b-local,right,0,The name of the company that created this presentation is **AVALAUNCH MEDIA**.
R3,conversion fidelity,mmlongbench:000158,What is the name of the company that created this presentation?,AVALAUNCH MEDIA,Generalized-text (Layout),0,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,0,"Based on the visual evidence provided in the document, the name of the company that created this presentation is **Avalaunch Media**. This name is clearly visible in the banner located at the top of the presentation's title slide, positioned above the main title ""PRESENTATIONS THAT KICK ASTERISKS""."
R4,conversion fidelity,mmlongbench:000513,How many geographic market names are listed under Los Angeles area?,13,"Pure-text (Plain-text),Table",9,T (raw),g1-representation-full,oracle,none,T,qwen3vl-8b-local,right,9,"The document lists **13** geographic market names under the Los Angeles area. Here’s the breakdown: The section titled **“California 14-26”** contains the Los Angeles area markets, starting with code 14 and ending with code 26. Listed markets: - 14. San Fernando Valley (West) - 15. San Fernando Valley (East) - 16. Glendale and Pasadena - 17. West Los Angeles and West Beach - 18. Hollywood and Wilshire - 19. East Los Angeles - 20. South Bay - 21. South and South Central Los Angeles - 22. Long Beach - 23. Covina and West Covina - 24. Whittier and North Orange County - 25. Anaheim - 26. Santa Ana..."
R4,conversion fidelity,mmlongbench:000513,How many geographic market names are listed under Los Angeles area?,13,"Pure-text (Plain-text),Table",9,TL (Paddle),g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,9,"26 The document lists 26 geographic market names under the “Los Angeles Area” section, ranging from CA14 to CA26."
R4,conversion fidelity,mmlongbench:000513,How many geographic market names are listed under Los Angeles area?,13,"Pure-text (Plain-text),Table",9,TL (MinerU),g1-parser-full-mineru,oracle,none,TL,qwen3vl-8b-local,wrong,9,"26 The document lists 26 geographic market names under the “Enrollment Planning Service — Los Angeles Area” section, ranging from “San Fernando Valley (West)” (item 14) to “Santa Ana” (item 26)."
R4,conversion fidelity,mmlongbench:000513,How many geographic market names are listed under Los Angeles area?,13,"Pure-text (Plain-text),Table",9,TL (unlimited),g1-parser-full-unlimited,oracle,none,TL,qwen3vl-8b-local,right,9,"There are **13** geographic market names listed under the Los Angeles area. The list includes entries numbered 14 through 26, which is a total of 13 markets: - 14. San Fernando Valley (West) - 15. San Fernando Valley (East) - 16. Glendale and Pasadena - 17. West Los Angeles and West Beach - 18. Hollywood and Wilshire - 19. East Los Angeles - 20. South Bay - 21. South and South Central Los Angeles - 22. Long Beach - 23. Covina and West Covina - 24. Whittier and North Orange County - 25. Anaheim - 26. Santa Ana ✅ **Answer: 13**"
R4,conversion fidelity,mmlongbench:000513,How many geographic market names are listed under Los Angeles area?,13,"Pure-text (Plain-text),Table",9,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,9,"Based on the provided document, there are **13** geographic market names listed under the Los Angeles area. The document shows the ""Enrollment Planning Service — Los Angeles Area"" section, which lists geographic market names with EPS codes from 14 to 26. Counting these entries: - 14. San Fernando Valley (West) - 15. San Fernando Valley (East) - 16. Glendale and Pasadena - 17. West Los Angeles and West Beach - 18. Hollywood and Wilshire - 19. East Los Angeles - 20. South Bay - 21. South and South Central Los Angeles - 22. Long Beach - 23. Covina and West Covina - 24. Whittier and North Orange C..."
S1,evidence coverage,mmlongbench:000141,How many chapter authors of this report come from Columbia University?,3,Pure-text (Plain-text),13 14,oracle,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,13 14,"Based on the provided document, there are **three** chapter authors from Columbia University. The names are: 1. **Radley Horton**, Columbia University 2. **Patrick Kinney**, Columbia University 3. **Carlos Perez Garcia-Pando**, Columbia University These names are listed in the ""Chapter Authors"" section of the ""LIST OF CONTRIBUTORS"" in the document."
S1,evidence coverage,mmlongbench:000141,How many chapter authors of this report come from Columbia University?,3,Pure-text (Plain-text),13 14,drop top,g5a-drop-best,pageset:r=colqwen3:g=drop_top-1:d=0,none,TLV,qwen3vl-8b-local,wrong,14,"Based on the provided document evidence, there is **one** chapter author from Columbia University. The author listed is **Carlos Perez Garcia-Pando**, who is affiliated with Columbia University. No other chapter authors in the document are listed as being from Columbia University."
S1,evidence coverage,mmlongbench:000141,How many chapter authors of this report come from Columbia University?,3,Pure-text (Plain-text),13 14,drop bottom,g5a-drop-worst,pageset:r=colqwen3:g=drop_bottom-1:d=0,none,TLV,qwen3vl-8b-local,wrong,13,"Based on the provided document, there are **two** chapter authors from Columbia University. The names are: - **Radley Horton**, Columbia University - **Patrick Kinney**, Columbia University These names appear in the ""Chapter Authors"" list on page xii of the document."
S2,evidence coverage,mmlongbench:000082,Which method integrates knowledge into white-box models via directive fine-tuning?,PKG,Pure-text (Plain-text),8 9,oracle,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,8 9,"Based on the provided document, the method that integrates knowledge into white-box models via directive fine-tuning is **PKG**. The document explicitly states in section E. Adapter: > ""PKG introduces an innovative method for integrating knowledge into white-box models via directive fine-tuning [75]. In this approach, the retriever module is directly substituted to generate relevant documents according to a query. This method assists in addressing the difficulties encountered during the fine-tuning process and enhances model performance."" This directly identifies PKG as the method in question."
S2,evidence coverage,mmlongbench:000082,Which method integrates knowledge into white-box models via directive fine-tuning?,PKG,Pure-text (Plain-text),8 9,drop top,g5a-drop-best,pageset:r=colqwen3:g=drop_top-1:d=0,none,TLV,qwen3vl-8b-local,wrong,8,"Based on the provided document, the method that integrates knowledge into white-box models via directive fine-tuning is **Fine-tuning Embedding Model**. Here's the reasoning: 1. **The Question:** It asks for a method that integrates knowledge into *white-box models* using *directive fine-tuning*. 2. **Document Evidence:** * Section **D.2) Fine-tuning Embedding Model** explicitly discusses fine-tuning embedding models to ""supplement domain knowledge"" and ""align the retriever and generator."" * It mentions using ""LLM as the supervision signal"" (e.g., LSR, PROMPTAGATOR, LLM-Embedder, REPLUG) to fi..."
S2,evidence coverage,mmlongbench:000082,Which method integrates knowledge into white-box models via directive fine-tuning?,PKG,Pure-text (Plain-text),8 9,drop bottom,g5a-drop-worst,pageset:r=colqwen3:g=drop_bottom-1:d=0,none,TLV,qwen3vl-8b-local,wrong,9,"The method that integrates knowledge into white-box models via directive fine-tuning is **directive fine-tuning**. The document explicitly states: > “introduces an innovative method for integrating knowledge into white-box models via directive fine-tuning [75].” This method is further described in the “B. LLM Fine-tuning” section, where it is noted that fine-tuning can be used to “provide additional knowledge to the LLM through fine-tuning” and to “adapt to specific data formats and generate responses in a particular style as instructed.” The term “directive” implies that the fine-tuning is gu..."
S3,distractor exposure,mmlongbench:000178,"According to this survey, which country’s youth show the greatest concern about unemployment problem?",Egypt,Chart,19,gold only,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,19,"Based on the provided chart, **Egypt**'s youth show the greatest concern about unemployment. Here's the reasoning: 1. The chart displays the level of concern about unemployment for different countries, broken down into four categories: ""Very concerned,"" ""Somewhat concerned,"" ""Not very concerned,"" and ""Not at all concerned."" 2. The ""Very concerned"" category is represented by the blue section at the bottom of each bar. 3. To find the country with the *greatest* concern, we need to look for the country with the *highest percentage* in the ""Very concerned"" category. 4. Looking at the blue numbers ..."
S3,distractor exposure,mmlongbench:000178,"According to this survey, which country’s youth show the greatest concern about unemployment problem?",Egypt,Chart,19,+1 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=1,none,TLV,qwen3vl-8b-local,wrong,17 19,"According to the survey, the country’s youth who show the greatest concern about unemployment are from **Iraq**, with 59% reporting they are ""Very concerned"". This is determined by examining the bar chart titled ""CONCERN ABOUT UNEMPLOYMENT BY COUNTRY"". The chart displays the percentage of youth who are ""Very concerned"" (the blue segment at the bottom of each bar) for each country. While the ""GCC/NON-GCC SPLIT"" chart shows that Non-GCC youth (55%) are more concerned than GCC youth (39%) about unemployment, the country-level breakdown reveals that Iraq has the highest percentage of youth who are..."
S3,distractor exposure,mmlongbench:000178,"According to this survey, which country’s youth show the greatest concern about unemployment problem?",Egypt,Chart,19,+2 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=2,none,TLV,qwen3vl-8b-local,wrong,15 17 19,"Based on the provided document evidence, the country whose youth show the greatest concern about unemployment is **Iraq**. The chart titled ""CONCERN ABOUT UNEMPLOYMENT BY COUNTRY"" displays the percentage of youth who are ""Very concerned"" (the blue segment at the bottom of each bar) about unemployment for each country listed. Looking at the ""Very concerned"" percentages: - Iraq: 59% - Libya: 55% - Tunisia: 55% - Algeria: 50% - Yemen: 50% - Palestine: 55% - Morocco: 47% - Egypt: 38% - Jordan: 36% - Kuwait: 34% - Qatar: 39% - Saudi Arabia: 36% - UAE: 34% - Oman: 34% - Lebanon: 34% Iraq has the hig..."
S3,distractor exposure,mmlongbench:000178,"According to this survey, which country’s youth show the greatest concern about unemployment problem?",Egypt,Chart,19,+3 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=3,none,TLV,qwen3vl-8b-local,wrong,15 17 19 42,"Based on the provided document, the country whose youth show the greatest concern about unemployment is **Algeria**. The chart titled ""CONCERN ABOUT UNEMPLOYMENT BY COUNTRY"" displays the percentage of youth who are ""Very concerned"" (the blue segment at the bottom of each bar) about unemployment for each country surveyed. Looking at the ""Very concerned"" percentages: - Algeria: 59% - All (aggregate): 49% - Egypt: 49% - Jordan: 42% - Kuwait: 38% - Qatar: 36% - Saudi Arabia: 34% - UAE: 34% - Oman: 34% - Lebanon: 34% - Bahrain: 34% - Iraq: 34% - Tunisia: 34% - Libya: 34% - Morocco: 34% - Yemen: 34%..."
S4,distractor exposure,mmlongbench:000041,"On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer",300 million,Chart,25,gold only,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,wrong,25,350
