# swept,distractor count added to a complete gold set
# dataset,longdocurl
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# prompt_mode,none
# attrition,"OOM attrition is NESTED, not random: at TLV the questions that OOM at d=5 are a strict superset of those at d=4, and so on down. A cell at high distractor count is therefore the surviving lightest questions, so compare down a column only on the matched question set, never on the raw per-cell accuracy"
gold pages,evidence_source,+1 distractor R→W,+1 distractor W→R,+2 distractors R→W,+2 distractors W→R,+3 distractors R→W,+3 distractors W→R,+4 distractors R→W,+4 distractors W→R,+5 distractors R→W,+5 distractors W→R,+6 distractors R→W,+6 distractors W→R,paired n,questions
1 gold page,Figure,10.6,9.5,11.2,7.2,16.4,8.2,12.7,10.8,14.1,7.6,-,-,273,271
1 gold page,Layout,11.2,8.0,11.4,9.1,14.9,5.6,13.0,8.4,16.3,8.2,-,-,187,187
1 gold page,Others†,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,4,4
1 gold page,Table,8.9,9.3,9.0,8.2,12.6,8.4,10.7,12.9,11.3,11.3,-,-,482,482
1 gold page,Text,4.8,7.0,7.4,6.1,8.0,5.8,8.6,5.9,9.0,6.0,-,-,314,314
1 gold page,**All sources**,8.5,8.1,9.4,7.6,11.8,6.9,10.5,8.7,11.4,7.3,-,-,987,987
2-3 gold pages,Figure,14.0,3.8,11.9,2.4,10.9,3.8,15.3,5.3,-,-,-,-,186,183
2-3 gold pages,Layout,12.3,5.3,12.6,6.1,12.0,7.3,15.7,7.0,-,-,-,-,341,341
2-3 gold pages,Others†,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,-,-,-,-,4,4
2-3 gold pages,Table,10.6,5.0,11.3,4.7,8.2,14.8,11.1,16.7,-,-,-,-,161,161
2-3 gold pages,Text,6.1,3.6,8.2,3.7,7.5,5.0,10.9,4.6,-,-,-,-,442,442
2-3 gold pages,**All sources**,9.6,4.1,10.9,4.4,9.7,6.0,13.3,6.1,-,-,-,-,779,779
n (per col),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
