# swept,gold evidence-page count (single vs multi) x evidence source x rung
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# hop,"single/multi only, hop=none dropped"
# gap,"M − S = multi-page minus single-page accuracy, in points (negative = multi-page is worse)"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
evidence_source,rung,single,multi,M − S,n
Figure,T,57.9 [49.4-65.8],67.7 [60.1-74.7],+9.8,554
Figure,TL,68.7 [61.7-75.6],62.2 [54.7-69.2],-6.5,545
Figure,TV,60.9 [53.5-68.2],76.0 [70.2-81.3],+15.0,551
Figure,TLV,68.4 [60.8-75.8],79.3 [74.6-83.8],+10.9,542
Figure,V,60.9 [52.9-68.5],70.0 [64.0-75.5],+9.1,554
Layout,T,53.3 [44.5-62.5],47.3 [42.0-52.6],-6.1,760
Layout,TL,62.1 [54.6-70.3],49.2 [44.1-55.0],-12.9,738
Layout,TV,66.7 [58.4-75.4],52.9 [48.0-58.6],-13.8,745
Layout,TLV,63.1 [55.3-71.1],54.0 [48.1-59.8],-9.1,708
Layout,V,57.9 [49.6-66.7],50.4 [45.0-55.9],-7.5,764
Others,T,100.0 [100.0-100.0],100.0 [100.0-100.0],+0.0,8
Others,TL,100.0 [100.0-100.0],100.0 [100.0-100.0],+0.0,8
Others,TV,100.0 [100.0-100.0],100.0 [100.0-100.0],+0.0,8
Others,TLV,100.0 [100.0-100.0],75.0 [60.0-100.0],-25.0,8
Others,V,75.0 [50.0-100.0],75.0 [60.0-100.0],+0.0,8
Table,T,66.6 [59.1-72.9],50.5 [42.7-58.8],-16.1,858
Table,TL,78.3 [74.7-81.9],50.2 [42.5-58.9],-28.1,811
Table,TV,71.7 [66.9-76.6],50.4 [42.7-58.3],-21.4,853
Table,TLV,75.4 [70.6-79.5],51.1 [42.7-59.4],-24.3,789
Table,V,62.9 [58.5-67.6],46.5 [38.7-54.6],-16.4,868
Text,T,77.4 [71.2-83.1],74.3 [70.3-78.1],-3.1,984
Text,TL,81.4 [76.9-85.9],78.5 [74.8-82.0],-2.8,970
Text,TV,82.4 [77.2-86.8],79.6 [76.4-82.3],-2.7,971
Text,TLV,82.3 [78.3-86.2],82.3 [79.3-85.2],-0.0,943
Text,V,72.4 [67.2-77.3],74.8 [71.6-78.2],+2.3,985
n (per col),-,5429,5824,-,-
