# swept,reasoner block (precision / scale / matched budget / family / reasoning variant)
# dataset,mmlongbench
# scan,mixed pools by run; compare within a block
# sampling,full
# parser,paddleocrvl
# quantization,bf16
# visual_resolution,visual_resolution is NOT comparable across families here — Gemma-3 (fixed 896x896 tower) and MiniCPM-V (own slicing) ignore the pixel budget; only render DPI (200) is held
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# memory,"weight footprint, not peak VRAM"
# note,"the reasoning-variant arm is loaded by the builder from g6-thinking under G6_reasoning (TLV only), since a plan entry names one task"
block,model_spec,weights_mb,T,TL,TLV,V,n
precision,qwen3vl-8b-local,17534,31.9 [27.1-36.7] (n=847),38.4 [34.4-42.5] (n=847),52.4 [48.3-56.4] (n=847),45.5 [41.6-49.6] (n=847),3388
precision,qwen3vl-8b-local-8bit,10285~,32.5 [27.6-37.2] (n=847),37.9 [33.7-42.1] (n=847),53.6 [49.4-57.7] (n=847),45.7 [41.5-50.1] (n=847),3388
precision,qwen3vl-8b-local-4bit,6775~,31.8 [27.1-36.4] (n=847),39.4 [35.4-43.2] (n=847),51.8 [47.7-55.9] (n=847),45.5 [41.1-49.8] (n=847),3388
scale,qwen3vl-2b-local,4255,24.7 [20.9-28.4] (n=847),31.9 [28.5-35.2] (n=847),38.3 [34.7-41.7] (n=847),31.9 [28.3-35.6] (n=847),3388
scale,qwen3vl-4b-local,8876,32.3 [27.5-37.1] (n=847),38.6 [34.4-42.7] (n=847),50.4 [46.6-54.1] (n=847),42.4 [38.2-46.9] (n=847),3388
scale,qwen3vl-8b-local,17534,31.9 [27.1-36.7] (n=847),38.4 [34.4-42.5] (n=847),52.4 [48.3-56.4] (n=847),45.5 [41.6-49.6] (n=847),3388
scale,qwen3vl-32b-local,66715,35.5 [30.4-40.6] (n=847),43.9 [39.9-48.1] (n=847),59.6 [55.2-63.9] (n=846),56.7 [52.5-60.9] (n=847),3387
matched budget (~17 GB),qwen3vl-8b-local,17534,31.9 [27.1-36.7] (n=847),38.4 [34.4-42.5] (n=847),52.4 [48.3-56.4] (n=847),45.5 [41.6-49.6] (n=847),3388
matched budget (~17 GB),qwen3vl-32b-local-4bit,19951~,37.0 [32.0-41.4] (n=847),42.1 [37.9-46.2] (n=847),59.1 [54.7-63.2] (n=847),52.3 [47.9-57.0] (n=847),3388
scale (Gemma-3),gemma3-4b-local,8600,22.1 [18.7-25.7] (n=846),30.4 [27.3-33.6] (n=843),39.9 [36.3-43.4] (n=828),33.8 [29.9-38.0] (n=829),3346
scale (Gemma-3),gemma3-12b-local,24375,30.4 [25.6-34.8] (n=840),37.5 [33.5-41.5] (n=802),50.9 [46.7-55.0] (n=737),42.6 [38.1-47.2] (n=775),3154
family,qwen3vl-8b-local,17534,31.9 [27.1-36.7] (n=847),38.4 [34.4-42.5] (n=847),52.4 [48.3-56.4] (n=847),45.5 [41.6-49.6] (n=847),3388
family,internvl3-8b-local,15889,19.3 [15.9-22.8] (n=845),25.3 [22.0-28.7] (n=842),32.6 [28.6-36.9] (n=807),24.1 [20.2-28.4] (n=845),3339
family,glm4v-9b-local,20586,27.4 [24.0-30.8] (n=839),33.6 [29.8-37.4] (n=800),44.3 [40.3-48.0] (n=783),31.0 [26.7-35.2] (n=845),3267
family,minicpmv-8b-local,17392,30.8 [26.1-35.3] (n=814),37.9 [33.7-42.1] (n=730),61.9 [56.9-66.3] (n=640),53.8 [49.5-58.0] (n=809),2993
reasoning variant (M−S),qwen3vl-8b-local,17534,"-11.7 (nS=480, nM=358)","-13.9 (nS=480, nM=358)","-25.8 (nS=480, nM=358)","-21.5 (nS=480, nM=358)",3388
reasoning variant (M−S),qwen3vl-8b-thinking-local,17534,-,-,"-9.1 (nS=474, nM=252)",-,735
n (per col),-,-,10113,9946,10458,10032,-
