# swept,"rung transition (TL→TLV, T→TL, T→TLV) × evidence source"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# pairing,"within-question, both rungs status==ok"
# transition columns,percentages summing to 100 per row (parenthesised figure is the raw count)
# All sources row,"pooled over questions, each counted once; not a column sum, has its own paired n"
pairing,evidence_source,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
TL->TLV,(none),11.8 (2),5.9 (1),58.8 (10),23.5 (4),17
TL->TLV,Chart,32.1 (51),2.5 (4),17.0 (27),48.4 (77),159
TL->TLV,Figure,23.9 (63),1.5 (4),22.0 (58),52.7 (139),264
TL->TLV,Generalized-text (Layout),16.3 (16),2.0 (2),38.8 (38),42.9 (42),98
TL->TLV,Pure-text (Plain-text),10.6 (27),2.4 (6),47.5 (121),39.6 (101),255
TL->TLV,Table,6.7 (10),3.3 (5),54.0 (81),36.0 (54),150
TL->TLV,**All sources**,18.7 (134),2.4 (17),38.1 (273),40.9 (293),717
T->TL,(none),11.8 (2),0.0 (0),52.9 (9),35.3 (6),17
T->TL,Chart,6.4 (11),5.8 (10),12.9 (22),74.9 (128),171
T->TL,Figure,13.8 (38),6.5 (18),9.1 (25),70.7 (195),276
T->TL,Generalized-text (Layout),14.8 (16),3.7 (4),25.0 (27),56.5 (61),108
T->TL,Pure-text (Plain-text),12.5 (34),4.0 (11),35.7 (97),47.8 (130),272
T->TL,Table,18.5 (29),4.5 (7),38.9 (61),38.2 (60),157
T->TL,**All sources**,12.8 (97),5.1 (39),26.8 (203),55.3 (419),758
T->TLV,(none),23.5 (4),5.9 (1),47.1 (8),23.5 (4),17
T->TLV,Chart,33.3 (53),3.8 (6),15.7 (25),47.2 (75),159
T->TLV,Figure,34.6 (91),4.6 (12),11.4 (30),49.4 (130),263
T->TLV,Generalized-text (Layout),30.9 (30),5.2 (5),24.7 (24),39.2 (38),97
T->TLV,Pure-text (Plain-text),20.4 (52),3.1 (8),37.6 (96),38.8 (99),255
T->TLV,Table,22.0 (33),4.7 (7),38.7 (58),34.7 (52),150
T->TLV,**All sources**,27.9 (200),3.8 (27),28.9 (207),39.4 (282),716
n (per col),"TL->TLV: 717, T->TL: 758, T->TLV: 716",-,-,-,-,-
