# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
none,Chart,18.5 [12.3-24.6] (n=178) a12.9 w68.5,19.1 [13.1-25.5] (n=178) a8.4 w72.5,45.5 [37.3-54.3] (n=178) a1.7 w52.8,43.3 [34.4-52.4] (n=178) a1.1 w55.6
none,Figure,15.5 [11.1-20.5] (n=290) a10.7 w73.8,23.8 [17.8-30.5] (n=290) a2.8 w73.4,44.8 [38.0-51.7] (n=290) a2.8 w52.4,40.3 [34.2-46.4] (n=290) a1.4 w58.3
none,Generalized-text (Layout),28.0 [18.1-37.6] (n=118) a1.7 w70.3,37.3 [27.3-47.4] (n=118) a4.2 w58.5,50.8 [42.3-59.2] (n=118) a0.0 w49.2,44.1 [35.7-52.8] (n=118) a0.8 w55.1
none,Pure-text (Plain-text),39.2 [31.5-47.6] (n=291) a4.1 w56.7,47.8 [41.1-55.3] (n=291) a1.7 w50.5,55.3 [48.8-62.8] (n=291) a1.4 w43.3,44.3 [37.7-51.3] (n=291) a0.3 w55.3
none,Table,40.6 [33.8-46.4] (n=217) a6.0 w53.5,48.4 [40.3-55.2] (n=217) a0.9 w50.7,48.4 [41.4-55.4] (n=217) a2.3 w49.3,37.8 [31.0-44.3] (n=217) a1.8 w60.4
none,(none),52.6 [31.2-73.7] (n=19) a5.3 w42.1†,63.2 [38.9-83.3] (n=19) a5.3 w31.6†,73.7 [52.6-91.3] (n=19) a0.0 w26.3†,52.6 [29.4-70.8] (n=19) a5.3 w42.1†
none,**All sources**,31.9 [27.3-36.5] (n=847) a7.3 w60.8,38.8 [34.5-43.0] (n=847) a3.2 w58.0,52.5 [48.5-56.5] (n=847) a1.4 w46.0,45.6 [41.7-49.5] (n=847) a1.1 w53.4
grounded,Chart,16.3 [10.1-22.7] (n=178) a16.9 w66.9,16.3 [11.1-22.5] (n=178) a2.8 w80.9,33.7 [26.8-41.0] (n=178) a1.1 w65.2,31.5 [24.6-38.8] (n=178) a0.6 w68.0
grounded,Figure,12.1 [8.0-17.2] (n=290) a10.3 w77.6,22.4 [16.8-28.1] (n=290) a0.3 w77.2,42.4 [35.9-48.9] (n=290) a0.7 w56.9,39.3 [33.0-45.4] (n=290) a1.0 w59.7
grounded,Generalized-text (Layout),18.6 [10.8-27.4] (n=118) a7.6 w73.7,29.7 [20.7-38.3] (n=118) a0.8 w69.5,42.4 [32.8-52.2] (n=118) a0.0 w57.6,44.9 [34.7-55.2] (n=118) a0.0 w55.1
