# swept,reasoner_spec (size + family) × evidence source × rung
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# note,8b bf16 baseline from the representation run
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# reading,"whether the InternVL3 deficit sits on the image step (Chart, Figure) or spreads evenly over the sources"
evidence_source,rung,internvl3-8b-local,qwen3vl-2b-local,qwen3vl-4b-local,qwen3vl-8b-local,Δ family (InternVL3 − Qwen 8B),n
(none),T,36.8 [12.5-56.0] (n=19)†,42.1 [22.2-62.5] (n=19)†,57.9 [33.3-79.2] (n=19)†,52.6 [31.2-73.7] (n=19)†,-15.8,76
(none),TL,42.1 [22.2-62.5] (n=19)†,57.9 [31.2-80.0] (n=19)†,57.9 [31.6-80.0] (n=19)†,63.2 [38.9-83.3] (n=19)†,-21.1,76
(none),TLV,38.9 [18.8-58.8] (n=18)†,52.6 [31.2-71.4] (n=19)†,68.4 [44.4-88.9] (n=19)†,68.4 [44.4-90.9] (n=19)†,-29.5,75
(none),V,26.3 [9.1-50.0] (n=19)†,42.1 [20.0-68.8] (n=19)†,42.1 [22.2-62.5] (n=19)†,47.4 [27.7-66.7] (n=19)†,-21.1,76
Chart,T,12.9 [7.5-19.0] (n=178),13.5 [8.3-18.6] (n=178),16.9 [10.9-23.2] (n=178),18.0 [12.0-23.9] (n=178),-5.1,712
Chart,TL,12.4 [6.5-18.6] (n=178),14.0 [9.0-19.5] (n=178),19.7 [12.6-27.3] (n=178),18.5 [12.4-25.3] (n=178),-6.2,712
Chart,TLV,20.5 [13.8-28.6] (n=171),21.3 [15.2-28.7] (n=178),41.0 [33.3-49.2] (n=178),44.4 [35.3-53.4] (n=178),-23.9,705
Chart,V,14.7 [10.3-20.4] (n=177),24.2 [17.6-31.4] (n=178),34.3 [26.1-43.2] (n=178),44.4 [35.4-52.8] (n=178),-29.7,711
Figure,T,11.7 [8.1-16.1] (n=290),12.8 [8.7-17.4] (n=290),17.2 [12.0-23.0] (n=290),15.2 [10.2-20.2] (n=290),-3.4,1160
Figure,TL,19.4 [15.0-24.1] (n=289),21.7 [17.0-26.5] (n=290),23.8 [18.1-29.7] (n=290),22.4 [17.0-28.3] (n=290),-3.0,1159
