# swept,retriever × k (overall P/R/F1)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,answerable
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,P,R,F1,n
bge-m3,text,1,0.338,0.255,0.279,847
bge-m3,text,3,0.187,0.388,0.239,847
bge-m3,text,5,0.147,0.482,0.212,847
bge-m3,text,7,0.120,0.532,0.184,847
bge-m3,text,10,0.100,0.611,0.163,847
bge-m3|colqwen2.5,joint,1,0.485,0.552,0.486,847
bge-m3|colqwen2.5,joint,3,0.234,0.728,0.332,847
bge-m3|colqwen2.5,joint,5,0.167,0.798,0.259,847
bm25,text,1,0.295,0.222,0.242,847
bm25,text,3,0.185,0.378,0.234,847
bm25,text,5,0.140,0.460,0.201,847
bm25,text,7,0.114,0.508,0.175,847
bm25,text,10,0.095,0.585,0.154,847
bm25|colmodernvbert,joint,1,0.442,0.512,0.445,847
bm25|colmodernvbert,joint,3,0.223,0.698,0.316,847
bm25|colmodernvbert,joint,5,0.159,0.776,0.248,847
colmodernvbert,vision,1,0.588,0.460,0.496,847
colmodernvbert,vision,3,0.315,0.646,0.396,847
colmodernvbert,vision,5,0.227,0.725,0.322,847
colmodernvbert,vision,7,0.179,0.772,0.271,847
colmodernvbert,vision,10,0.140,0.817,0.222,847
colqwen2.5,vision,1,0.633,0.488,0.528,847
colqwen2.5,vision,3,0.338,0.683,0.425,847
colqwen2.5,vision,5,0.236,0.749,0.335,847
colqwen2.5,vision,7,0.185,0.792,0.279,847
colqwen2.5,vision,10,0.144,0.838,0.229,847
colqwen3,vision,1,0.702,0.541,0.586,847
colqwen3,vision,3,0.368,0.739,0.460,847
colqwen3,vision,5,0.255,0.806,0.361,847
colqwen3,vision,7,0.199,0.839,0.299,847
colqwen3,vision,10,0.152,0.874,0.241,847
qwen3-embedding,text,1,0.335,0.255,0.279,847
qwen3-embedding,text,3,0.199,0.413,0.254,847
qwen3-embedding,text,5,0.150,0.494,0.217,847
qwen3-embedding|colqwen3,joint,1,0.519,0.587,0.517,847
qwen3-embedding|colqwen3,joint,3,0.255,0.779,0.360,847
n (per col),-,-,-,-,-,-
